src_ip,dst_ip,src_vlan,dst_vlan,bytes_sum,n_flujos
10.2.0.13,10.1.0.12,2,2,11690,1
10.2.0.12,10.2.0.13,2,2,19292,1
10.2.0.20,10.1.0.12,2,2,7432,2
10.2.0.16,10.2.0.12,1,2,51880,6
10.2.0.10,10.2.0.21,2,2,20942,2
10.3.0.15,10.1.0.12,1,2,25134,3
10.3.0.13,10.3.0.21,2,2,45667,4
10.2.0.19,10.2.0.11,1,1,44946,5
10.3.0.14,10.3.0.10,1,2,10040,1
10.1.0.20,10.1.0.17,1,1,29907,4
10.1.0.20,10.1.0.12,1,2,58661,5
10.2.0.17,10.2.0.10,1,2,34911,4
10.2.0.14,10.3.0.12,2,1,6102,1
10.2.0.11,10.2.0.17,1,1,24820,3
10.1.0.11,10.1.0.13,1,2,62083,5
10.2.0.19,10.2.0.16,1,1,23145,2
10.1.0.11,10.1.0.19,1,2,720,1
10.1.0.16,10.1.0.11,1,1,4839,2
10.3.0.20,10.1.0.10,2,1,27625,2
10.3.0.10,10.3.0.13,2,2,30418,4
10.1.0.16,10.1.0.13,1,2,48886,6
10.2.0.21,10.2.0.17,2,1,60828,5
10.2.0.15,10.2.0.16,1,1,64820,10
10.1.0.19,10.1.0.15,2,2,70761,5
10.1.0.14,10.2.0.14,3,2,4566,1
10.2.0.15,10.3.0.17,1,2,21508,2
10.2.0.20,10.2.0.21,2,2,23343,2
10.3.0.16,10.3.0.20,3,2,20563,3
10.1.0.20,10.1.0.10,1,1,19141,3
10.3.0.15,10.2.0.18,1,1,10736,1
10.1.0.21,10.1.0.14,2,3,28223,4
10.2.0.13,10.1.0.15,2,2,5645,2
10.3.0.18,10.3.0.13,2,2,17032,3
10.2.0.16,10.2.0.11,1,1,61903,7
10.2.0.20,10.2.0.11,2,1,23979,4
10.2.0.20,10.3.0.12,2,1,19528,2
10.1.0.18,10.1.0.10,2,1,78453,6
10.2.0.17,10.2.0.13,1,2,47956,6
10.2.0.20,10.3.0.18,2,2,14172,2
10.3.0.20,10.3.0.11,2,2,22916,5
10.1.0.13,10.1.0.19,2,2,73885,5
10.3.0.13,10.3.0.14,2,1,21554,2
10.1.0.13,10.1.0.18,2,2,22683,3
10.2.0.13,10.2.0.18,2,1,36856,5
10.3.0.17,10.3.0.21,2,2,16893,3
10.2.0.19,10.2.0.14,1,2,21416,4
10.2.0.20,10.2.0.19,2,1,44474,3
10.2.0.11,10.2.0.13,1,2,44607,5
10.1.0.12,10.1.0.11,2,1,12116,2
10.3.0.14,10.3.0.18,1,2,45249,4
10.2.0.12,10.2.0.10,2,2,45055,5
10.3.0.16,10.3.0.15,3,1,63918,5
10.3.0.20,10.3.0.15,2,1,28273,5
10.2.0.17,10.3.0.18,1,2,22040,1
10.3.0.11,10.2.0.17,2,1,8973,2
10.1.0.14,10.1.0.16,3,1,22700,4
10.2.0.14,10.2.0.17,2,1,54754,7
10.3.0.20,10.3.0.10,2,2,47715,6
10.1.0.14,10.2.0.16,3,1,9268,2
10.2.0.13,10.2.0.20,2,2,64316,6
10.3.0.19,10.1.0.11,1,1,1060,1
10.2.0.17,10.2.0.16,1,1,37358,5
10.2.0.12,10.2.0.18,2,1,50437,6
10.2.0.14,10.2.0.16,2,1,60211,6
10.2.0.21,10.2.0.20,2,2,80039,6
10.1.0.11,10.1.0.21,1,2,12897,2
10.3.0.19,10.2.0.11,1,1,11844,1
10.2.0.15,10.3.0.18,1,2,11336,1
10.3.0.15,10.3.0.10,1,2,23495,3
10.1.0.20,10.3.0.11,1,2,2112,1
10.1.0.18,10.1.0.16,2,1,42453,5
10.3.0.21,10.3.0.13,2,2,72937,9
10.3.0.18,10.3.0.11,2,2,29276,7
10.3.0.21,10.3.0.15,2,1,65746,6
10.1.0.15,10.1.0.17,2,1,1046,1
10.3.0.19,10.2.0.13,1,2,7281,1
10.3.0.21,10.3.0.11,2,2,26762,4
10.2.0.14,10.2.0.20,2,2,34662,8
10.2.0.20,10.2.0.10,2,2,41797,4
10.2.0.13,10.1.0.14,2,3,19184,1
10.1.0.10,10.1.0.18,1,2,41080,2
10.1.0.16,10.1.0.10,1,1,17596,2
10.2.0.16,10.2.0.17,1,1,16524,1
10.3.0.10,10.3.0.14,2,1,45804,4
10.3.0.11,10.3.0.16,2,3,6264,2
10.2.0.18,10.1.0.17,1,1,32028,2
10.3.0.11,10.3.0.20,2,2,53016,8
10.3.0.20,10.3.0.14,2,1,35498,4
10.2.0.14,10.2.0.15,2,1,54132,4
10.3.0.20,10.3.0.18,2,2,57102,6
10.3.0.20,10.3.0.19,2,1,41940,5
10.2.0.10,10.2.0.12,2,2,64017,6
10.3.0.13,10.3.0.15,2,1,34942,4
10.2.0.18,10.2.0.15,1,1,29335,3
10.3.0.11,10.3.0.18,2,2,12888,4
10.2.0.20,10.1.0.13,2,2,10089,1
10.1.0.14,10.1.0.17,3,1,40620,3
10.1.0.14,10.1.0.13,3,2,28807,4
10.3.0.15,10.3.0.13,1,2,59868,7
10.1.0.21,10.1.0.15,2,2,28980,3
10.1.0.11,10.1.0.17,1,1,7988,2
10.3.0.17,10.3.0.19,2,1,54784,6
10.3.0.10,10.2.0.14,2,2,17928,1
10.2.0.14,10.2.0.13,2,2,48814,5
10.1.0.21,10.1.0.16,2,1,7038,2
10.3.0.12,10.3.0.19,1,1,24899,2
10.3.0.18,10.1.0.12,2,2,12144,1
10.3.0.13,10.3.0.10,2,2,37855,4
10.3.0.20,10.3.0.12,2,1,55435,6
10.1.0.10,10.1.0.16,1,1,25740,4
10.3.0.18,10.3.0.16,2,3,53421,5
10.3.0.17,10.2.0.19,2,1,4837,1
10.2.0.13,10.2.0.14,2,2,48906,5
10.1.0.12,10.1.0.18,2,2,129288,8
10.2.0.21,10.3.0.10,2,2,20286,1
10.1.0.12,10.1.0.15,2,2,50991,4
10.3.0.18,10.3.0.12,2,1,54041,4
10.2.0.18,10.2.0.11,1,1,54300,7
10.2.0.10,10.3.0.15,2,1,7812,2
10.3.0.16,10.2.0.17,3,1,5797,1
10.2.0.12,10.2.0.20,2,2,17334,2
10.1.0.19,10.1.0.11,2,1,25753,3
10.3.0.10,10.1.0.11,2,1,42050,2
10.3.0.15,10.3.0.18,1,2,57114,6
10.1.0.15,10.1.0.13,2,2,60169,6
10.2.0.13,10.3.0.12,2,1,23994,1
10.2.0.13,10.2.0.12,2,2,26732,5
10.3.0.19,10.3.0.12,1,1,9918,2
10.1.0.19,10.1.0.18,2,2,75569,7
10.2.0.10,10.2.0.14,2,2,59698,5
10.1.0.12,10.2.0.11,2,1,3820,1
10.3.0.19,10.3.0.13,1,2,30139,3
10.3.0.18,10.2.0.15,2,1,19076,1
10.1.0.21,10.1.0.10,2,1,72558,9
10.2.0.11,10.2.0.18,1,1,24652,3
10.3.0.17,10.2.0.13,2,2,33360,2
10.3.0.14,10.3.0.12,1,1,40093,4
10.3.0.14,10.3.0.13,1,2,9227,3
10.3.0.17,10.1.0.17,2,1,14520,1
10.1.0.15,10.1.0.14,2,3,42550,7
10.1.0.20,10.3.0.18,1,2,11952,1
10.1.0.17,10.3.0.12,1,1,4432,1
10.1.0.16,10.1.0.19,1,2,32324,3
10.2.0.10,10.2.0.11,2,1,22918,3
10.3.0.16,10.3.0.21,3,2,34699,3
10.1.0.20,10.1.0.18,1,2,18973,2
10.3.0.10,10.2.0.19,2,1,5964,1
10.3.0.15,10.2.0.12,1,2,12648,1
10.2.0.14,10.2.0.18,2,1,19101,3
10.3.0.11,10.2.0.20,2,2,9691,1
10.1.0.17,10.1.0.10,1,1,50164,3
10.2.0.11,10.3.0.14,1,1,14377,1
10.2.0.17,10.2.0.18,1,1,2336,1
10.2.0.11,10.3.0.17,1,2,2448,1
10.1.0.18,10.1.0.11,2,1,34291,6
10.1.0.17,10.1.0.11,1,1,27916,4
10.3.0.10,10.3.0.21,2,2,40593,4
10.3.0.17,10.3.0.10,2,2,16971,2
10.1.0.19,10.1.0.13,2,2,39559,4
10.3.0.20,10.3.0.13,2,2,41759,6
10.2.0.15,10.2.0.13,1,2,20230,2
10.2.0.10,10.3.0.21,2,2,6195,1
10.3.0.12,10.2.0.17,1,1,20860,1
10.2.0.15,10.3.0.11,1,2,10260,1
10.1.0.12,10.1.0.20,2,1,19379,3
10.1.0.19,10.1.0.20,2,1,77777,7
10.1.0.18,10.1.0.13,2,2,19404,2
10.2.0.12,10.2.0.21,2,2,24988,4
10.3.0.10,10.3.0.20,2,2,87918,9
10.2.0.10,10.2.0.20,2,2,47786,5
10.3.0.18,10.3.0.14,2,1,45681,8
10.1.0.12,10.2.0.13,2,2,23804,2
10.1.0.17,10.1.0.12,1,2,49206,6
10.2.0.10,10.2.0.19,2,1,20983,3
10.2.0.21,10.2.0.16,2,1,48001,3
10.3.0.11,10.3.0.15,2,1,34106,5
10.2.0.10,10.2.0.16,2,1,11220,2
10.3.0.17,10.3.0.18,2,2,38038,5
10.1.0.20,10.1.0.15,1,2,38563,6
10.1.0.10,10.1.0.14,1,3,14539,2
10.2.0.13,10.2.0.11,2,1,30578,4
10.2.0.11,10.2.0.12,1,2,41810,6
10.1.0.16,10.2.0.19,1,1,12924,1
10.1.0.14,10.1.0.18,3,2,58937,7
10.3.0.21,10.1.0.15,2,2,10540,1
10.3.0.14,10.2.0.16,1,1,3272,1
10.3.0.11,10.3.0.14,2,1,19694,3
10.2.0.12,10.2.0.11,2,1,5604,1
10.3.0.16,10.1.0.17,3,1,3495,1
10.1.0.13,10.1.0.16,2,1,20601,5
10.1.0.19,10.3.0.10,2,2,36868,2
10.3.0.11,10.2.0.13,2,2,9571,1
10.2.0.12,10.2.0.16,2,1,37629,5
10.3.0.16,10.3.0.19,3,1,36368,4
10.3.0.13,10.1.0.16,2,1,4650,1
10.1.0.11,10.2.0.21,1,2,7277,1
10.3.0.18,10.3.0.19,2,1,28008,4
10.1.0.21,10.1.0.12,2,2,17062,4
10.2.0.17,10.3.0.14,1,1,2624,1
10.1.0.17,10.3.0.11,1,2,980,1
10.1.0.19,10.2.0.18,2,1,20360,2
10.3.0.19,10.1.0.14,1,3,10300,1
10.2.0.14,10.2.0.12,2,2,55695,6
10.3.0.10,10.3.0.18,2,2,8608,1
10.2.0.20,10.2.0.17,2,1,26067,4
10.1.0.11,10.1.0.12,1,2,26625,4
10.1.0.20,10.2.0.19,1,1,21903,2
10.1.0.21,10.2.0.10,2,2,18957,2
10.3.0.11,10.3.0.12,2,1,19242,3
10.2.0.21,10.2.0.15,2,1,10682,3
10.3.0.12,10.3.0.20,1,2,39277,4
10.1.0.19,10.1.0.21,2,2,40949,4
10.2.0.15,10.2.0.11,1,1,34753,5
10.3.0.13,10.3.0.20,2,2,20425,3
10.3.0.12,10.3.0.17,1,2,42806,3
10.1.0.19,10.1.0.16,2,1,53155,4
10.2.0.19,10.2.0.20,1,2,9546,2
10.3.0.13,10.2.0.10,2,2,4192,1
10.1.0.11,10.1.0.15,1,2,34086,4
10.1.0.15,10.3.0.15,2,1,10450,1
10.1.0.21,10.1.0.13,2,2,26880,3
10.1.0.15,10.1.0.21,2,2,21342,3
10.1.0.18,10.1.0.21,2,2,5742,1
10.1.0.12,10.1.0.14,2,3,8503,1
10.1.0.10,10.1.0.13,1,2,3730,2
10.1.0.17,10.1.0.19,1,2,826,1
10.3.0.10,10.3.0.15,2,1,27635,3
10.1.0.13,10.1.0.15,2,2,78396,9
10.2.0.14,10.1.0.15,2,2,4940,1
10.1.0.14,10.2.0.10,3,2,15855,1
10.2.0.15,10.2.0.14,1,2,26878,4
10.2.0.18,10.1.0.11,1,1,15876,1
10.3.0.19,10.3.0.21,1,2,37389,4
10.3.0.16,10.3.0.14,3,1,29001,4
10.2.0.13,10.1.0.16,2,1,16926,1
10.1.0.15,10.3.0.11,2,2,2352,1
10.3.0.19,10.2.0.12,1,2,12510,1
10.3.0.13,10.2.0.19,2,1,760,1
10.3.0.19,10.3.0.14,1,1,19998,2
10.1.0.10,10.1.0.19,1,2,71175,6
10.1.0.16,10.1.0.17,1,1,41694,5
10.3.0.21,10.3.0.10,2,2,38739,6
10.1.0.12,10.3.0.10,2,2,10699,1
10.3.0.17,10.1.0.16,2,1,33189,3
10.1.0.13,10.3.0.20,2,2,10807,2
10.2.0.15,10.2.0.17,1,1,35067,2
10.3.0.16,10.3.0.17,3,2,20248,5
10.2.0.16,10.2.0.15,1,1,36555,3
10.3.0.21,10.3.0.17,2,2,58964,5
10.2.0.12,10.2.0.19,2,1,35591,7
10.3.0.12,10.3.0.18,1,2,34021,3
10.2.0.16,10.2.0.19,1,1,17118,4
10.1.0.15,10.1.0.19,2,2,86421,6
10.1.0.15,10.2.0.10,2,2,1390,1
10.1.0.18,10.3.0.12,2,1,15440,1
10.2.0.19,10.2.0.18,1,1,39177,4
10.2.0.11,10.1.0.11,1,1,40533,3
10.3.0.21,10.3.0.20,2,2,34560,3
10.1.0.17,10.1.0.15,1,2,22354,3
10.3.0.20,10.3.0.17,2,2,38421,4
10.3.0.16,10.1.0.13,3,2,15768,1
10.3.0.14,10.3.0.16,1,3,35742,3
10.2.0.11,10.2.0.16,1,1,53901,4
10.1.0.15,10.1.0.12,2,2,73860,8
10.3.0.14,10.3.0.21,1,2,16725,2
10.1.0.21,10.1.0.20,2,1,47444,4
10.3.0.14,10.3.0.20,1,2,20290,5
10.3.0.21,10.3.0.16,2,3,76213,7
10.2.0.20,10.2.0.18,2,1,46770,5
10.2.0.15,10.1.0.10,1,1,7884,1
10.2.0.11,10.2.0.19,1,1,40276,3
10.2.0.20,10.2.0.14,2,2,35820,4
10.2.0.19,10.1.0.10,1,1,17264,1
10.1.0.20,10.1.0.14,1,3,25106,3
10.2.0.12,10.2.0.17,2,1,43291,6
10.1.0.11,10.1.0.18,1,2,24445,4
10.1.0.13,10.2.0.15,2,1,11952,1
10.3.0.15,10.1.0.20,1,1,4564,1
10.1.0.18,10.2.0.15,2,1,9392,1
10.3.0.16,10.3.0.11,3,2,27687,4
10.1.0.11,10.3.0.12,1,1,5652,1
10.3.0.12,10.3.0.10,1,2,21269,4
10.2.0.10,10.1.0.15,2,2,6345,1
10.1.0.17,10.3.0.10,1,2,2817,1
10.1.0.15,10.1.0.20,2,1,40945,5
10.3.0.15,10.2.0.11,1,1,1945,1
10.3.0.19,10.1.0.12,1,2,28897,2
10.2.0.14,10.3.0.14,2,1,4921,1
10.1.0.12,10.1.0.17,2,1,73118,6
10.2.0.15,10.2.0.21,1,2,12078,2
10.3.0.19,10.3.0.10,1,2,8101,3
10.1.0.18,10.1.0.17,2,1,20452,3
10.1.0.10,10.1.0.20,1,1,7429,3
10.1.0.13,10.2.0.18,2,1,9828,2
10.3.0.14,10.3.0.11,1,2,59995,6
10.2.0.10,10.2.0.13,2,2,41921,4
10.2.0.15,10.3.0.20,1,2,18990,1
10.2.0.13,10.2.0.21,2,2,36785,4
10.2.0.18,10.2.0.19,1,1,10869,3
10.2.0.15,10.2.0.12,1,2,31776,3
10.3.0.21,10.1.0.11,2,1,18791,1
10.1.0.14,10.1.0.12,3,2,11878,2
10.1.0.13,10.3.0.12,2,1,3770,1
10.1.0.19,10.1.0.10,2,1,11340,2
10.1.0.19,10.2.0.10,2,2,18666,1
10.2.0.10,10.1.0.21,2,2,1604,1
10.1.0.18,10.2.0.14,2,2,7183,1
10.2.0.20,10.2.0.13,2,2,3990,1
10.1.0.14,10.1.0.10,3,1,50102,3
10.3.0.20,10.2.0.10,2,2,11376,1
10.1.0.10,10.1.0.12,1,2,27470,3
10.1.0.16,10.1.0.18,1,2,39009,6
10.1.0.18,10.1.0.19,2,2,38064,6
10.3.0.13,10.1.0.12,2,2,15864,1
10.1.0.11,10.1.0.14,1,3,26418,4
10.1.0.12,10.3.0.11,2,2,26315,1
10.1.0.13,10.1.0.21,2,2,15523,3
10.3.0.17,10.1.0.15,2,2,9528,1
10.2.0.15,10.3.0.10,1,2,4104,1
10.3.0.15,10.3.0.20,1,2,38325,4
10.3.0.13,10.2.0.14,2,2,15827,1
10.1.0.11,10.2.0.15,1,1,2259,1
10.1.0.16,10.1.0.21,1,2,41194,4
10.2.0.17,10.2.0.21,1,2,20770,3
10.3.0.10,10.3.0.12,2,1,14421,1
10.3.0.13,10.3.0.19,2,1,75203,9
10.2.0.20,10.1.0.10,2,1,17526,2
10.2.0.18,10.2.0.12,1,2,33452,2
10.3.0.11,10.1.0.17,2,1,4760,1
10.1.0.13,10.1.0.10,2,1,9376,3
10.3.0.11,10.1.0.21,2,2,5016,2
10.3.0.21,10.3.0.19,2,1,28062,4
10.3.0.11,10.1.0.16,2,1,21840,1
10.2.0.18,10.2.0.13,1,2,20857,4
10.1.0.10,10.1.0.11,1,1,17341,3
10.1.0.21,10.3.0.19,2,1,5220,1
10.1.0.10,10.1.0.17,1,1,32044,3
10.2.0.13,10.2.0.17,2,1,16977,2
10.3.0.19,10.3.0.20,1,2,22288,2
10.2.0.13,10.2.0.15,2,1,31844,4
10.3.0.18,10.3.0.20,2,2,63614,5
10.2.0.14,10.2.0.11,2,1,21283,2
10.3.0.11,10.1.0.19,2,2,4016,1
10.1.0.15,10.1.0.16,2,1,24182,3
10.3.0.19,10.3.0.15,1,1,44906,4
10.3.0.19,10.3.0.17,1,2,6332,3
10.1.0.21,10.2.0.19,2,1,3908,1
10.3.0.19,10.3.0.16,1,3,8653,2
10.1.0.12,10.1.0.10,2,1,67940,6
10.1.0.17,10.1.0.16,1,1,17121,1
10.3.0.18,10.3.0.21,2,2,64774,5
10.2.0.12,10.1.0.13,2,2,16200,2
10.1.0.21,10.1.0.18,2,2,4497,2
10.3.0.10,10.3.0.16,2,3,2258,2
10.3.0.20,10.2.0.17,2,1,5192,1
10.1.0.17,10.2.0.16,1,1,15048,2
10.2.0.19,10.2.0.13,1,2,42943,4
10.3.0.11,10.1.0.13,2,2,17123,2
10.1.0.13,10.1.0.14,2,3,15601,2
10.1.0.12,10.1.0.19,2,2,32836,2
10.1.0.16,10.1.0.15,1,2,7615,3
10.2.0.15,10.1.0.17,1,1,5677,1
10.3.0.10,10.2.0.20,2,2,39643,2
10.2.0.11,10.3.0.10,1,2,14943,1
10.3.0.16,10.1.0.20,3,1,27115,2
10.3.0.21,10.1.0.17,2,1,11254,1
10.3.0.20,10.1.0.20,2,1,810,1
10.1.0.21,10.1.0.11,2,1,30478,4
10.2.0.17,10.2.0.19,1,1,20723,2
10.3.0.21,10.3.0.12,2,1,18844,2
10.3.0.10,10.3.0.17,2,2,24547,3
10.3.0.17,10.3.0.16,2,3,11114,2
10.3.0.20,10.2.0.11,2,1,28261,2
10.2.0.14,10.1.0.20,2,1,11753,2
10.3.0.14,10.2.0.10,1,2,2646,1
10.2.0.19,10.2.0.15,1,1,24570,2
10.1.0.10,10.2.0.15,1,1,14154,1
10.1.0.11,10.2.0.12,1,2,19348,1
10.3.0.20,10.1.0.11,2,1,2943,1
10.2.0.17,10.3.0.17,1,2,9936,1
10.2.0.21,10.2.0.12,2,2,36313,4
10.1.0.15,10.3.0.13,2,2,14113,1
10.1.0.20,10.1.0.21,1,2,21827,4
10.2.0.16,10.2.0.14,1,2,21983,4
10.2.0.13,10.2.0.19,2,1,54829,3
10.2.0.13,10.1.0.20,2,1,6000,1
10.2.0.18,10.1.0.18,1,2,6912,1
10.1.0.11,10.1.0.20,1,1,23275,3
10.3.0.10,10.2.0.17,2,1,1612,1
10.1.0.13,10.2.0.14,2,2,12631,1
10.1.0.19,10.3.0.20,2,2,27772,2
10.2.0.21,10.3.0.14,2,1,3276,1
10.3.0.17,10.3.0.11,2,2,59630,6
10.1.0.20,10.1.0.11,1,1,28121,3
10.1.0.21,10.3.0.20,2,2,9764,2
10.3.0.17,10.2.0.17,2,1,6878,1
10.3.0.19,10.3.0.18,1,2,18282,2
10.1.0.19,10.3.0.11,2,2,17040,1
10.1.0.12,10.2.0.10,2,2,17000,1
10.1.0.19,10.3.0.21,2,2,8652,1
10.3.0.13,10.3.0.12,2,1,47126,3
10.1.0.16,10.3.0.10,1,2,17046,1
10.1.0.13,10.2.0.21,2,2,1308,1
10.3.0.18,10.1.0.11,2,1,3444,1
10.3.0.19,10.2.0.10,1,2,9248,1
10.3.0.16,10.1.0.12,3,2,7427,1
10.1.0.14,10.3.0.15,3,1,12683,1
10.1.0.11,10.3.0.21,1,2,2964,1
10.1.0.12,10.3.0.15,2,1,544,1
10.3.0.16,10.2.0.18,3,1,1785,1
10.1.0.15,10.1.0.10,2,1,30710,2
10.2.0.11,10.2.0.15,1,1,39491,6
10.2.0.14,10.2.0.21,2,2,31216,3
10.2.0.12,10.2.0.14,2,2,54503,3
10.3.0.18,10.2.0.10,2,2,4968,1
10.3.0.17,10.1.0.18,2,2,23616,2
10.2.0.13,10.1.0.11,2,1,2321,1
10.2.0.11,10.2.0.10,1,2,11370,2
10.3.0.15,10.2.0.19,1,1,11018,1
10.2.0.11,10.2.0.21,1,2,16689,2
10.1.0.10,10.1.0.15,1,2,20628,4
10.2.0.20,10.1.0.15,2,2,11210,1
10.3.0.14,10.3.0.19,1,1,14640,1
10.3.0.15,10.3.0.11,1,2,17012,4
10.2.0.16,10.2.0.18,1,1,21956,2
10.2.0.10,10.1.0.18,2,2,25396,2
10.1.0.10,10.2.0.14,1,2,5035,1
10.2.0.19,10.1.0.17,1,1,9527,1
10.2.0.21,10.2.0.10,2,2,20728,3
10.3.0.15,10.3.0.16,1,3,43906,4
10.3.0.14,10.2.0.15,1,1,16677,1
10.3.0.12,10.1.0.10,1,1,5348,1
10.3.0.10,10.3.0.11,2,2,2409,1
10.1.0.20,10.2.0.13,1,2,18373,2
10.1.0.21,10.3.0.13,2,2,15090,1
10.1.0.18,10.3.0.16,2,3,10863,1
10.3.0.16,10.1.0.21,3,2,6640,1
10.2.0.16,10.3.0.18,1,2,3076,1
10.3.0.21,10.3.0.14,2,1,12132,2
10.2.0.21,10.2.0.19,2,1,18350,2
10.3.0.17,10.3.0.13,2,2,17787,3
10.3.0.18,10.3.0.17,2,2,20641,2
10.3.0.14,10.1.0.14,1,3,6306,1
10.1.0.20,10.1.0.13,1,2,28356,3
10.2.0.18,10.2.0.14,1,2,9776,2
10.1.0.13,10.2.0.20,2,2,15936,1
10.1.0.21,10.3.0.17,2,2,5696,1
10.1.0.20,10.3.0.12,1,1,4266,1
10.2.0.14,10.1.0.19,2,2,9780,1
10.2.0.21,10.1.0.12,2,2,7540,2
10.1.0.12,10.1.0.21,2,2,43176,3
10.1.0.13,10.3.0.19,2,1,2022,1
10.3.0.18,10.1.0.21,2,2,7092,1
10.3.0.17,10.1.0.19,2,2,1280,1
10.3.0.12,10.2.0.12,1,2,10602,1
10.3.0.20,10.3.0.16,2,3,17498,2
10.1.0.16,10.2.0.10,1,2,7216,1
10.2.0.18,10.3.0.10,1,2,5024,1
10.2.0.14,10.1.0.21,2,2,14688,1
10.3.0.19,10.3.0.11,1,2,33550,3
10.2.0.18,10.2.0.20,1,2,6987,2
10.2.0.17,10.2.0.12,1,2,22474,3
10.2.0.21,10.3.0.17,2,2,7164,1
10.3.0.19,10.2.0.17,1,1,22940,1
10.3.0.15,10.3.0.12,1,1,13409,1
10.2.0.11,10.2.0.20,1,2,2080,1
10.1.0.12,10.2.0.20,2,2,10112,1
10.3.0.10,10.1.0.20,2,1,10053,1
10.2.0.14,10.2.0.10,2,2,9701,3
10.3.0.18,10.1.0.10,2,1,27468,2
10.1.0.13,10.1.0.17,2,1,7935,2
10.2.0.13,10.3.0.14,2,1,1924,1
10.3.0.18,10.1.0.17,2,1,6071,1
10.3.0.19,10.1.0.10,1,1,8801,1
10.1.0.21,10.2.0.20,2,2,456,1
10.2.0.11,10.3.0.20,1,2,15300,1
10.3.0.15,10.1.0.15,1,2,3004,1
10.1.0.19,10.1.0.14,2,3,10338,3
10.1.0.17,10.2.0.15,1,1,8480,1
