ts,src_id,dst_id,src_ip,dst_ip,packets,bytes
94,28,36,10.3.0.13,10.3.0.21,5,6435
95,22,14,10.2.0.19,10.2.0.11,20,12820
96,29,25,10.3.0.14,10.3.0.10,20,10040
97,11,8,10.1.0.20,10.1.0.17,19,11552
98,11,3,10.1.0.20,10.1.0.12,20,9320
99,20,13,10.2.0.17,10.2.0.10,11,3124
100,17,27,10.2.0.14,10.3.0.12,9,6102
101,14,20,10.2.0.11,10.2.0.17,4,4236
102,2,4,10.1.0.11,10.1.0.13,17,15827
103,22,19,10.2.0.19,10.2.0.16,15,18645
104,2,10,10.1.0.11,10.1.0.19,4,720
105,7,2,10.1.0.16,10.1.0.11,6,1932
106,35,1,10.3.0.20,10.1.0.10,14,12376
107,25,28,10.3.0.10,10.3.0.13,16,4656
108,7,4,10.1.0.16,10.1.0.13,10,4200
109,24,20,10.2.0.21,10.2.0.17,19,12046
110,18,19,10.2.0.15,10.2.0.16,18,17208
111,10,6,10.1.0.19,10.1.0.15,11,12067
112,5,17,10.1.0.14,10.2.0.14,6,4566
113,18,32,10.2.0.15,10.3.0.17,12,12876
114,23,24,10.2.0.20,10.2.0.21,15,5685
115,31,35,10.3.0.16,10.3.0.20,7,5026
116,11,1,10.1.0.20,10.1.0.10,10,8290
117,30,21,10.3.0.15,10.2.0.18,11,10736
118,24,14,10.2.0.21,10.2.0.11,5,2145
119,12,5,10.1.0.21,10.1.0.14,6,4440
120,16,6,10.2.0.13,10.1.0.15,20,4180
121,33,28,10.3.0.18,10.3.0.13,4,3732
122,19,14,10.2.0.16,10.2.0.11,13,9152
123,23,14,10.2.0.20,10.2.0.11,14,3346
124,23,27,10.2.0.20,10.3.0.12,17,13838
125,9,1,10.1.0.18,10.1.0.10,8,8792
126,30,3,10.3.0.15,10.1.0.12,14,16856
127,20,16,10.2.0.17,10.2.0.13,17,11730
128,23,33,10.2.0.20,10.3.0.18,9,10143
129,27,29,10.3.0.12,10.3.0.14,6,4614
130,35,26,10.3.0.20,10.3.0.11,18,12222
131,24,20,10.2.0.21,10.2.0.17,20,19820
132,4,10,10.1.0.13,10.1.0.19,18,4482
133,28,29,10.3.0.13,10.3.0.14,17,12274
134,4,9,10.1.0.13,10.1.0.18,10,9210
135,18,19,10.2.0.15,10.2.0.16,3,1065
136,21,24,10.2.0.18,10.2.0.21,3,4071
137,16,21,10.2.0.13,10.2.0.18,14,11620
138,32,36,10.3.0.17,10.3.0.21,10,4740
139,5,2,10.1.0.14,10.1.0.11,17,4216
140,22,17,10.2.0.19,10.2.0.14,10,1970
141,23,22,10.2.0.20,10.2.0.19,16,20544
142,14,16,10.2.0.11,10.2.0.13,2,564
143,3,2,10.1.0.12,10.1.0.11,2,2076
144,29,33,10.3.0.14,10.3.0.18,12,11820
145,15,13,10.2.0.12,10.2.0.10,20,21420
146,31,30,10.3.0.16,10.3.0.15,13,13650
147,18,13,10.2.0.15,10.2.0.10,12,10344
148,35,30,10.3.0.20,10.3.0.15,12,8796
149,20,33,10.2.0.17,10.3.0.18,20,22040
150,26,20,10.3.0.11,10.2.0.17,3,1383
151,5,7,10.1.0.14,10.1.0.16,4,3244
152,17,20,10.2.0.14,10.2.0.17,7,8484
153,35,25,10.3.0.20,10.3.0.10,13,10127
154,5,19,10.1.0.14,10.2.0.16,6,6216
155,16,23,10.2.0.13,10.2.0.20,17,8755
156,34,2,10.3.0.19,10.1.0.11,5,1060
157,26,28,10.3.0.11,10.3.0.13,19,14098
158,20,19,10.2.0.17,10.2.0.16,10,10160
159,15,21,10.2.0.12,10.2.0.18,3,2835
160,17,19,10.2.0.14,10.2.0.16,18,11124
161,24,23,10.2.0.21,10.2.0.20,20,25160
162,2,12,10.1.0.11,10.1.0.21,14,11452
163,34,14,10.3.0.19,10.2.0.11,18,11844
164,5,12,10.1.0.14,10.1.0.21,15,3000
165,11,7,10.1.0.20,10.1.0.16,11,11627
166,18,33,10.2.0.15,10.3.0.18,13,11336
167,22,13,10.2.0.19,10.2.0.10,4,4684
168,30,25,10.3.0.15,10.3.0.10,5,3710
169,2,12,10.1.0.11,10.1.0.21,5,1445
170,11,26,10.1.0.20,10.3.0.11,3,2112
171,9,7,10.1.0.18,10.1.0.16,11,11902
172,36,28,10.3.0.21,10.3.0.13,11,3531
173,7,4,10.1.0.16,10.1.0.13,12,5508
174,33,26,10.3.0.18,10.3.0.11,9,1998
175,36,30,10.3.0.21,10.3.0.15,12,16032
176,20,19,10.2.0.17,10.2.0.16,11,4158
177,6,8,10.1.0.15,10.1.0.17,2,1046
178,34,16,10.3.0.19,10.2.0.13,9,7281
179,36,26,10.3.0.21,10.3.0.11,12,3756
180,17,23,10.2.0.14,10.2.0.20,6,1440
181,23,13,10.2.0.20,10.2.0.10,16,16704
182,16,5,10.2.0.13,10.1.0.14,16,19184
183,1,9,10.1.0.10,10.1.0.18,20,15380
184,7,1,10.1.0.16,10.1.0.10,4,5128
185,19,20,10.2.0.16,10.2.0.17,12,16524
186,25,29,10.3.0.10,10.3.0.14,12,10644
187,26,31,10.3.0.11,10.3.0.16,8,5360
188,21,8,10.2.0.18,10.1.0.17,20,11020
189,26,35,10.3.0.11,10.3.0.20,4,3428
190,35,29,10.3.0.20,10.3.0.14,5,3840
191,17,18,10.2.0.14,10.2.0.15,17,17901
192,4,3,10.1.0.13,10.1.0.12,3,3969
193,35,33,10.3.0.20,10.3.0.18,6,4212
194,35,34,10.3.0.20,10.3.0.19,16,10720
195,13,15,10.2.0.10,10.2.0.12,19,17062
196,28,30,10.3.0.13,10.3.0.15,2,2668
197,21,18,10.2.0.18,10.2.0.15,15,16035
198,26,33,10.3.0.11,10.3.0.18,4,4836
199,23,4,10.2.0.20,10.1.0.13,19,10089
200,5,8,10.1.0.14,10.1.0.17,15,16095
201,19,24,10.2.0.16,10.2.0.21,12,10068
202,5,4,10.1.0.14,10.1.0.13,14,14658
203,9,11,10.1.0.18,10.1.0.20,5,2295
204,30,28,10.3.0.15,10.3.0.13,12,6156
205,12,6,10.1.0.21,10.1.0.15,3,3609
206,19,13,10.2.0.16,10.2.0.10,15,12300
207,2,8,10.1.0.11,10.1.0.17,6,6708
208,26,35,10.3.0.11,10.3.0.20,16,3152
209,16,23,10.2.0.13,10.2.0.20,8,7168
210,16,13,10.2.0.13,10.2.0.10,7,7259
211,32,34,10.3.0.17,10.3.0.19,13,16432
212,24,23,10.2.0.21,10.2.0.20,9,9225
213,35,24,10.3.0.20,10.2.0.21,2,1702
214,25,17,10.3.0.10,10.2.0.14,18,17928
215,11,3,10.1.0.20,10.1.0.12,19,20520
216,17,16,10.2.0.14,10.2.0.13,14,4228
217,29,33,10.3.0.14,10.3.0.18,18,13392
218,12,7,10.1.0.21,10.1.0.16,9,5868
219,27,34,10.3.0.12,10.3.0.19,16,21632
220,33,26,10.3.0.18,10.3.0.11,8,4216
221,33,3,10.3.0.18,10.1.0.12,11,12144
222,28,25,10.3.0.13,10.3.0.10,17,8755
223,26,34,10.3.0.11,10.3.0.19,11,8272
224,35,27,10.3.0.20,10.3.0.12,9,10719
225,17,19,10.2.0.14,10.2.0.16,10,12020
226,1,7,10.1.0.10,10.1.0.16,4,2212
227,16,19,10.2.0.13,10.2.0.16,13,2353
228,33,31,10.3.0.18,10.3.0.16,6,5862
229,32,22,10.3.0.17,10.2.0.19,7,4837
230,16,17,10.2.0.13,10.2.0.14,14,14966
231,11,1,10.1.0.20,10.1.0.10,9,10305
232,3,9,10.1.0.12,10.1.0.18,17,13362
233,24,25,10.2.0.21,10.3.0.10,18,20286
234,4,11,10.1.0.13,10.1.0.20,18,20178
235,3,6,10.1.0.12,10.1.0.15,20,15300
236,33,27,10.3.0.18,10.3.0.12,14,6944
237,21,14,10.2.0.18,10.2.0.11,11,6578
238,16,19,10.2.0.13,10.2.0.16,19,5168
239,13,30,10.2.0.10,10.3.0.15,8,2504
240,21,8,10.2.0.18,10.1.0.17,16,21008
241,31,20,10.3.0.16,10.2.0.17,17,5797
242,15,21,10.2.0.12,10.2.0.18,8,2744
243,15,23,10.2.0.12,10.2.0.20,4,884
244,10,2,10.1.0.19,10.1.0.11,16,3088
245,28,29,10.3.0.13,10.3.0.14,16,9280
246,23,22,10.2.0.20,10.2.0.19,19,18145
247,9,1,10.1.0.18,10.1.0.10,20,19280
248,25,2,10.3.0.10,10.1.0.11,20,23480
249,30,33,10.3.0.15,10.3.0.18,16,5504
250,6,4,10.1.0.15,10.1.0.13,19,8170
251,35,27,10.3.0.20,10.3.0.12,8,6152
252,16,27,10.2.0.13,10.3.0.12,18,23994
253,36,28,10.3.0.21,10.3.0.13,10,10500
254,16,15,10.2.0.13,10.2.0.12,7,6671
255,34,27,10.3.0.19,10.3.0.12,5,1210
256,10,9,10.1.0.19,10.1.0.18,20,13720
257,35,25,10.3.0.20,10.3.0.10,18,22824
258,5,7,10.1.0.14,10.1.0.16,12,4536
259,13,17,10.2.0.10,10.2.0.14,15,10860
260,35,29,10.3.0.20,10.3.0.14,17,19380
261,3,14,10.1.0.12,10.2.0.11,10,3820
262,34,28,10.3.0.19,10.3.0.13,6,4500
263,19,14,10.2.0.16,10.2.0.11,15,20295
264,33,18,10.3.0.18,10.2.0.15,19,19076
265,12,1,10.1.0.21,10.1.0.10,5,6650
266,20,16,10.2.0.17,10.2.0.13,17,10353
267,14,21,10.2.0.11,10.2.0.18,16,11856
268,32,16,10.3.0.17,10.2.0.13,20,23360
269,29,27,10.3.0.14,10.3.0.12,3,2829
270,17,16,10.2.0.14,10.2.0.13,18,10566
271,29,28,10.3.0.14,10.3.0.13,13,3289
272,32,8,10.3.0.17,10.1.0.17,12,14520
273,6,5,10.1.0.15,10.1.0.14,2,1476
274,18,19,10.2.0.15,10.2.0.16,8,2784
275,11,33,10.1.0.20,10.3.0.18,16,11952
276,8,27,10.1.0.17,10.3.0.12,16,4432
277,19,15,10.2.0.16,10.2.0.12,11,11231
278,7,10,10.1.0.16,10.1.0.19,20,26020
279,13,14,10.2.0.10,10.2.0.11,5,6465
280,12,5,10.1.0.21,10.1.0.14,9,11925
281,31,36,10.3.0.16,10.3.0.21,17,11917
282,11,9,10.1.0.20,10.1.0.18,19,15333
283,25,22,10.3.0.10,10.2.0.19,12,5964
284,12,1,10.1.0.21,10.1.0.10,6,1164
285,30,15,10.3.0.15,10.2.0.12,17,12648
286,17,21,10.2.0.14,10.2.0.18,11,9933
287,26,23,10.3.0.11,10.2.0.20,11,9691
288,8,1,10.1.0.17,10.1.0.10,19,12901
289,14,29,10.2.0.11,10.3.0.14,11,14377
290,28,36,10.3.0.13,10.3.0.21,16,15616
291,20,21,10.2.0.17,10.2.0.18,8,2336
292,20,16,10.2.0.17,10.2.0.13,6,7398
293,4,9,10.1.0.13,10.1.0.18,5,5395
294,14,32,10.2.0.11,10.3.0.17,9,2448
295,9,2,10.1.0.18,10.1.0.11,17,10829
296,8,2,10.1.0.17,10.1.0.11,16,11792
297,25,36,10.3.0.10,10.3.0.21,20,14480
298,19,15,10.2.0.16,10.2.0.12,12,12036
299,32,25,10.3.0.17,10.3.0.10,12,8592
300,5,12,10.1.0.14,10.1.0.21,18,3294
301,10,4,10.1.0.19,10.1.0.13,19,19228
302,35,28,10.3.0.20,10.3.0.13,3,3606
303,18,16,10.2.0.15,10.2.0.13,5,6810
304,13,36,10.2.0.10,10.3.0.21,5,6195
305,29,32,10.3.0.14,10.3.0.17,14,18858
306,13,14,10.2.0.10,10.2.0.11,16,13744
307,36,28,10.3.0.21,10.3.0.13,9,8091
308,27,20,10.3.0.12,10.2.0.17,20,20860
309,18,26,10.2.0.15,10.3.0.11,10,10260
310,5,8,10.1.0.14,10.1.0.17,11,11495
311,3,11,10.1.0.12,10.1.0.20,12,14856
312,10,11,10.1.0.19,10.1.0.20,6,4356
313,9,4,10.1.0.18,10.1.0.13,12,4992
314,15,24,10.2.0.12,10.2.0.21,7,5404
315,25,35,10.3.0.10,10.3.0.20,6,4320
316,13,23,10.2.0.10,10.2.0.20,19,19114
317,12,10,10.1.0.21,10.1.0.19,3,2571
318,33,29,10.3.0.18,10.3.0.14,4,2892
319,25,35,10.3.0.10,10.3.0.20,9,10359
320,33,27,10.3.0.18,10.3.0.12,19,23940
321,33,29,10.3.0.18,10.3.0.14,6,1872
322,3,16,10.1.0.12,10.2.0.13,11,11396
323,35,27,10.3.0.20,10.3.0.12,18,3780
324,8,3,10.1.0.17,10.1.0.12,7,5285
325,26,35,10.3.0.11,10.3.0.20,11,4708
326,13,22,10.2.0.10,10.2.0.19,19,5491
327,13,15,10.2.0.10,10.2.0.12,20,4700
328,24,19,10.2.0.21,10.2.0.16,13,16861
329,19,13,10.2.0.16,10.2.0.10,4,4624
330,27,36,10.3.0.12,10.3.0.21,5,3230
331,26,30,10.3.0.11,10.3.0.15,9,2952
332,35,34,10.3.0.20,10.3.0.19,17,23409
333,13,19,10.2.0.10,10.2.0.16,8,9552
334,32,33,10.3.0.17,10.3.0.18,4,776
335,11,6,10.1.0.20,10.1.0.15,3,1764
336,22,17,10.2.0.19,10.2.0.14,4,1332
337,23,33,10.2.0.20,10.3.0.18,3,4029
338,14,16,10.2.0.11,10.2.0.13,6,7176
339,1,5,10.1.0.10,10.1.0.14,13,8554
340,10,4,10.1.0.19,10.1.0.13,10,3830
341,16,14,10.2.0.13,10.2.0.11,9,12339
342,14,15,10.2.0.11,10.2.0.12,16,17712
343,13,17,10.2.0.10,10.2.0.14,12,9600
344,7,22,10.1.0.16,10.2.0.19,18,12924
345,25,28,10.3.0.10,10.3.0.13,18,4014
346,5,9,10.1.0.14,10.1.0.18,14,3738
347,6,5,10.1.0.15,10.1.0.14,14,4606
348,36,6,10.3.0.21,10.1.0.15,20,10540
349,14,15,10.2.0.11,10.2.0.12,13,11713
350,29,19,10.3.0.14,10.2.0.16,8,3272
351,26,29,10.3.0.11,10.3.0.14,10,13530
352,15,14,10.2.0.12,10.2.0.11,6,5604
353,25,29,10.3.0.10,10.3.0.14,16,4368
354,22,14,10.2.0.19,10.2.0.11,9,1683
355,31,8,10.3.0.16,10.1.0.17,5,3495
356,4,7,10.1.0.13,10.1.0.16,18,5580
357,10,25,10.1.0.19,10.3.0.10,20,24700
358,15,18,10.2.0.12,10.2.0.15,14,15456
359,26,16,10.3.0.11,10.2.0.13,17,9571
360,15,19,10.2.0.12,10.2.0.16,6,4716
361,31,34,10.3.0.16,10.3.0.19,10,5090
362,31,30,10.3.0.16,10.3.0.15,20,13540
363,28,7,10.3.0.13,10.1.0.16,10,4650
364,2,24,10.1.0.11,10.2.0.21,19,7277
365,33,34,10.3.0.18,10.3.0.19,12,15888
366,12,3,10.1.0.21,10.1.0.12,6,3450
367,20,29,10.2.0.17,10.3.0.14,8,2624
368,4,2,10.1.0.13,10.1.0.11,10,13880
369,8,26,10.1.0.17,10.3.0.11,5,980
370,35,25,10.3.0.20,10.3.0.10,13,5655
371,10,21,10.1.0.19,10.2.0.18,4,4784
372,35,25,10.3.0.20,10.3.0.10,8,1704
373,30,33,10.3.0.15,10.3.0.18,18,10926
374,34,5,10.3.0.19,10.1.0.14,20,10300
375,30,28,10.3.0.15,10.3.0.13,16,19344
376,35,33,10.3.0.20,10.3.0.18,11,9295
377,35,36,10.3.0.20,10.3.0.21,18,5814
378,17,15,10.2.0.14,10.2.0.12,13,6916
379,26,29,10.3.0.11,10.3.0.14,3,1971
380,33,25,10.3.0.18,10.3.0.10,11,3113
381,29,28,10.3.0.14,10.3.0.13,4,2880
382,24,17,10.2.0.21,10.2.0.14,5,6915
383,25,33,10.3.0.10,10.3.0.18,8,8608
384,23,20,10.2.0.20,10.2.0.17,9,7659
385,15,19,10.2.0.12,10.2.0.16,7,8211
386,2,3,10.1.0.11,10.1.0.12,18,19584
387,28,30,10.3.0.13,10.3.0.15,9,10746
388,11,22,10.1.0.20,10.2.0.19,9,3438
389,23,20,10.2.0.20,10.2.0.17,6,4692
390,12,13,10.1.0.21,10.2.0.10,13,4355
391,26,27,10.3.0.11,10.3.0.12,7,5586
392,35,28,10.3.0.20,10.3.0.13,10,2760
393,17,22,10.2.0.14,10.2.0.19,5,925
394,24,18,10.2.0.21,10.2.0.15,7,1799
395,27,35,10.3.0.12,10.3.0.20,10,7730
396,24,23,10.2.0.21,10.2.0.20,4,5548
397,10,12,10.1.0.19,10.1.0.21,20,3600
398,18,14,10.2.0.15,10.2.0.11,4,5212
399,28,35,10.3.0.13,10.3.0.20,6,3486
400,27,32,10.3.0.12,10.3.0.17,15,14550
401,10,7,10.1.0.19,10.1.0.16,13,6045
402,22,23,10.2.0.19,10.2.0.20,15,3120
403,21,24,10.2.0.18,10.2.0.21,12,8676
404,28,13,10.3.0.13,10.2.0.10,4,4192
405,2,6,10.1.0.11,10.1.0.15,11,14223
406,4,3,10.1.0.13,10.1.0.12,7,9632
407,6,30,10.1.0.15,10.3.0.15,19,10450
408,22,15,10.2.0.19,10.2.0.12,10,8400
409,12,4,10.1.0.21,10.1.0.13,10,12570
410,6,12,10.1.0.15,10.1.0.21,10,6600
411,28,32,10.3.0.13,10.3.0.17,5,1190
412,9,12,10.1.0.18,10.1.0.21,9,5742
413,10,2,10.1.0.19,10.1.0.11,11,13827
414,31,35,10.3.0.16,10.3.0.20,11,5863
415,3,5,10.1.0.12,10.1.0.14,11,8503
416,1,4,10.1.0.10,10.1.0.13,3,1764
417,8,10,10.1.0.17,10.1.0.19,2,826
418,25,30,10.3.0.10,10.3.0.15,8,8912
419,4,6,10.1.0.13,10.1.0.15,3,2280
420,8,2,10.1.0.17,10.1.0.11,13,8632
421,6,5,10.1.0.15,10.1.0.14,20,13800
422,17,6,10.2.0.14,10.1.0.15,20,4940
423,20,23,10.2.0.17,10.2.0.20,5,1545
424,17,16,10.2.0.14,10.2.0.13,17,10591
425,20,13,10.2.0.17,10.2.0.10,17,14807
426,31,34,10.3.0.16,10.3.0.19,6,8022
427,5,13,10.1.0.14,10.2.0.10,15,15855
428,18,17,10.2.0.15,10.2.0.14,3,2517
429,21,2,10.2.0.18,10.1.0.11,12,15876
430,4,6,10.1.0.13,10.1.0.15,4,3072
431,20,19,10.2.0.17,10.2.0.16,14,9828
432,34,36,10.3.0.19,10.3.0.21,15,3000
433,31,29,10.3.0.16,10.3.0.14,8,8592
434,16,7,10.2.0.13,10.1.0.16,13,16926
435,6,26,10.1.0.15,10.3.0.11,8,2352
436,34,15,10.3.0.19,10.2.0.12,15,12510
437,35,36,10.3.0.20,10.3.0.21,18,17838
438,28,22,10.3.0.13,10.2.0.19,2,760
439,19,15,10.2.0.16,10.2.0.12,17,6613
440,9,7,10.1.0.18,10.1.0.16,3,2010
441,33,28,10.3.0.18,10.3.0.13,14,4536
442,34,29,10.3.0.19,10.3.0.14,14,7182
443,1,10,10.1.0.10,10.1.0.19,19,9158
444,7,8,10.1.0.16,10.1.0.17,2,450
445,36,25,10.3.0.21,10.3.0.10,6,5922
446,3,25,10.1.0.12,10.3.0.10,13,10699
447,32,7,10.3.0.17,10.1.0.16,17,14382
448,15,18,10.2.0.12,10.2.0.15,18,20484
449,3,6,10.1.0.12,10.1.0.15,12,15864
450,33,27,10.3.0.18,10.3.0.12,17,19125
451,4,35,10.1.0.13,10.3.0.20,3,1266
452,25,35,10.3.0.10,10.3.0.20,11,11022
453,32,30,10.3.0.17,10.3.0.15,6,4992
454,35,30,10.3.0.20,10.3.0.15,6,3012
455,13,17,10.2.0.10,10.2.0.14,12,7572
456,18,20,10.2.0.15,10.2.0.17,11,14487
457,13,23,10.2.0.10,10.2.0.20,7,5943
458,31,32,10.3.0.16,10.3.0.17,12,3000
459,19,18,10.2.0.16,10.2.0.15,9,2070
460,22,19,10.2.0.19,10.2.0.16,6,4500
461,4,2,10.1.0.13,10.1.0.11,12,8544
462,26,35,10.3.0.11,10.3.0.20,15,3780
463,36,32,10.3.0.21,10.3.0.17,15,20235
464,15,22,10.2.0.12,10.2.0.19,6,1164
465,27,33,10.3.0.12,10.3.0.18,10,13870
466,9,7,10.1.0.18,10.1.0.16,3,3000
467,32,7,10.3.0.17,10.1.0.16,20,14740
468,19,22,10.2.0.16,10.2.0.19,15,4560
469,2,6,10.1.0.11,10.1.0.15,14,5866
470,6,10,10.1.0.15,10.1.0.19,19,26391
471,6,13,10.1.0.15,10.2.0.10,2,1390
472,30,25,10.3.0.15,10.3.0.10,13,2717
473,9,27,10.1.0.18,10.3.0.12,16,15440
474,22,21,10.2.0.19,10.2.0.18,3,2277
475,33,27,10.3.0.18,10.3.0.12,16,4032
476,14,2,10.2.0.11,10.1.0.11,15,20265
477,12,1,10.1.0.21,10.1.0.10,4,5040
478,36,35,10.3.0.21,10.3.0.20,20,19280
479,26,28,10.3.0.11,10.3.0.13,15,19455
480,8,6,10.1.0.17,10.1.0.15,4,1816
481,35,32,10.3.0.20,10.3.0.17,11,9944
482,31,4,10.3.0.16,10.1.0.13,12,15768
483,10,2,10.1.0.19,10.1.0.11,9,8838
484,29,31,10.3.0.14,10.3.0.16,6,7614
485,9,7,10.1.0.18,10.1.0.16,19,20881
486,14,19,10.2.0.11,10.2.0.16,3,3129
487,2,3,10.1.0.11,10.1.0.12,3,2745
488,36,28,10.3.0.21,10.3.0.13,6,1566
489,6,3,10.1.0.15,10.1.0.12,8,8240
490,35,28,10.3.0.20,10.3.0.13,3,2898
491,29,36,10.3.0.14,10.3.0.21,11,11550
492,12,11,10.1.0.21,10.1.0.20,14,10416
493,16,21,10.2.0.13,10.2.0.18,15,11025
494,7,10,10.1.0.16,10.1.0.19,4,3064
495,29,35,10.3.0.14,10.3.0.20,2,1652
496,36,31,10.3.0.21,10.3.0.16,14,16968
497,23,21,10.2.0.20,10.2.0.18,15,14085
498,18,1,10.2.0.15,10.1.0.10,6,7884
499,14,22,10.2.0.11,10.2.0.19,7,9688
500,23,17,10.2.0.20,10.2.0.14,10,10350
501,22,1,10.2.0.19,10.1.0.10,13,17264
502,35,33,10.3.0.20,10.3.0.18,3,2478
503,11,5,10.1.0.20,10.1.0.14,9,7947
504,19,14,10.2.0.16,10.2.0.11,10,2820
505,15,20,10.2.0.12,10.2.0.17,12,3588
506,36,31,10.3.0.21,10.3.0.16,18,20682
507,17,20,10.2.0.14,10.2.0.17,2,1062
508,17,19,10.2.0.14,10.2.0.16,16,16704
509,33,34,10.3.0.18,10.3.0.19,4,1272
510,3,7,10.1.0.12,10.1.0.16,2,848
511,2,9,10.1.0.11,10.1.0.18,13,4381
512,4,18,10.1.0.13,10.2.0.15,12,11952
513,30,11,10.3.0.15,10.1.0.20,7,4564
514,9,18,10.1.0.18,10.2.0.15,16,9392
515,31,25,10.3.0.16,10.3.0.10,18,22680
516,31,26,10.3.0.16,10.3.0.11,5,6870
