src_ip,dst_ip,src_vlan,dst_vlan,bytes_sum,n_flujos
10.2.0.18,10.2.0.14,2,3,117448,4
10.2.0.16,10.2.0.15,2,2,62239,3
10.1.0.12,10.1.0.15,1,4,91312,3
10.2.0.17,10.2.0.16,2,2,72856,3
10.1.0.20,10.3.0.19,4,1,52000,2
10.2.0.17,10.2.0.15,2,2,12516,2
10.1.0.12,10.1.0.18,1,4,71105,5
10.3.0.14,10.3.0.21,2,3,75900,5
10.2.0.16,10.2.0.17,2,2,45855,2
10.2.0.18,10.2.0.11,2,2,173424,6
10.2.0.13,10.2.0.16,4,2,160082,6
10.1.0.13,10.1.0.10,4,2,35705,3
10.3.0.20,10.3.0.19,2,1,18551,2
10.2.0.19,10.2.0.13,4,4,69241,4
10.3.0.12,10.3.0.13,4,3,107202,5
10.1.0.20,10.1.0.15,4,4,109179,4
10.2.0.17,10.2.0.11,2,2,60536,3
10.1.0.17,10.1.0.10,2,2,130451,7
10.1.0.11,10.1.0.17,3,2,71654,3
10.1.0.10,10.1.0.13,2,4,19294,1
10.3.0.21,10.3.0.17,3,2,137741,6
10.3.0.10,10.2.0.14,2,3,50278,1
10.1.0.14,10.1.0.18,4,4,65043,5
10.1.0.21,10.1.0.16,3,2,102795,4
10.3.0.20,10.1.0.18,2,4,62606,1
10.2.0.16,10.2.0.19,2,4,88660,6
10.3.0.12,10.3.0.16,4,4,119319,8
10.3.0.11,10.3.0.16,3,4,106360,5
10.3.0.17,10.2.0.19,2,4,18176,1
10.3.0.14,10.3.0.18,2,4,53722,5
10.2.0.16,10.1.0.11,2,3,3672,1
10.3.0.18,10.3.0.19,4,1,157635,5
10.2.0.13,10.2.0.14,4,3,46254,5
10.1.0.19,10.1.0.11,4,3,26882,3
10.1.0.21,10.1.0.15,3,4,84428,4
10.3.0.13,10.3.0.11,3,3,68082,2
10.2.0.10,10.2.0.15,1,2,72177,5
10.2.0.10,10.2.0.14,1,3,35460,2
10.1.0.12,10.2.0.11,1,2,6732,1
10.2.0.16,10.2.0.11,2,2,110427,5
10.1.0.21,10.1.0.10,3,2,137203,7
10.2.0.10,10.2.0.12,1,3,95326,2
10.2.0.10,10.1.0.18,1,4,4588,1
10.3.0.21,10.3.0.15,3,3,138294,5
10.2.0.14,10.2.0.20,3,3,86810,6
10.2.0.16,10.2.0.12,2,3,64673,4
10.1.0.17,10.2.0.17,2,2,67870,2
10.3.0.18,10.3.0.14,4,2,128997,7
10.3.0.20,10.2.0.10,2,1,4796,2
10.3.0.15,10.2.0.12,3,3,16080,1
10.2.0.19,10.2.0.21,4,3,76275,5
10.2.0.19,10.2.0.12,4,3,189282,10
10.2.0.11,10.3.0.17,2,2,12341,1
10.2.0.11,10.2.0.14,2,3,148488,6
10.1.0.10,10.1.0.15,2,4,30513,3
10.2.0.10,10.3.0.14,1,2,28371,2
10.1.0.15,10.1.0.11,4,3,32256,3
10.2.0.17,10.2.0.18,2,2,88270,6
10.3.0.21,10.3.0.13,3,3,139925,5
10.3.0.11,10.3.0.21,3,3,124165,7
10.2.0.16,10.2.0.10,2,1,149087,5
10.3.0.17,10.3.0.14,2,2,76330,5
10.3.0.16,10.1.0.16,4,2,16412,1
10.2.0.10,10.2.0.20,1,3,73185,4
10.2.0.17,10.1.0.21,2,3,47797,2
10.2.0.11,10.2.0.21,2,3,98793,7
10.1.0.18,10.2.0.10,4,1,11552,1
10.2.0.15,10.1.0.21,2,3,50160,1
10.3.0.14,10.1.0.18,2,4,53844,1
10.2.0.14,10.2.0.11,3,2,20423,2
10.2.0.13,10.2.0.12,4,3,50001,3
10.1.0.19,10.1.0.13,4,4,54410,6
10.3.0.17,10.3.0.11,2,3,89273,7
10.2.0.12,10.2.0.11,3,2,169193,6
10.3.0.14,10.3.0.17,2,2,40252,4
10.3.0.10,10.3.0.14,2,2,14407,4
10.1.0.10,10.1.0.20,2,4,10843,4
10.3.0.17,10.3.0.12,2,4,150305,8
10.3.0.10,10.3.0.18,2,4,49352,4
10.2.0.15,10.2.0.21,2,3,100946,8
10.3.0.20,10.3.0.21,2,3,124733,7
10.1.0.21,10.1.0.12,3,1,94926,4
10.1.0.14,10.1.0.10,4,2,99411,6
10.1.0.10,10.3.0.15,2,3,29869,2
10.3.0.11,10.3.0.14,3,2,69569,4
10.2.0.21,10.2.0.18,3,2,85364,4
10.1.0.20,10.1.0.16,4,2,81465,5
10.2.0.12,10.2.0.21,3,3,29292,2
10.1.0.13,10.1.0.15,4,4,64451,6
10.1.0.11,10.1.0.12,3,1,101615,4
10.3.0.15,10.3.0.21,3,3,106601,7
10.1.0.18,10.1.0.13,4,4,28896,4
10.1.0.14,10.1.0.16,4,2,49062,2
10.3.0.12,10.3.0.20,4,2,124825,5
10.3.0.21,10.3.0.11,3,3,73984,6
10.1.0.15,10.3.0.16,4,4,18445,1
10.2.0.19,10.2.0.17,4,2,11700,1
10.3.0.13,10.2.0.10,3,1,13560,1
10.2.0.13,10.1.0.13,4,4,22440,1
10.2.0.18,10.2.0.10,2,1,117467,6
10.1.0.14,10.1.0.20,4,4,69043,4
10.3.0.10,10.3.0.11,2,3,88391,4
10.1.0.15,10.1.0.14,4,4,157637,8
10.1.0.18,10.2.0.12,4,3,52632,2
10.2.0.11,10.2.0.16,2,2,123829,4
10.1.0.17,10.1.0.11,2,3,263853,11
10.3.0.19,10.3.0.21,1,3,21186,2
10.2.0.13,10.1.0.16,4,2,61121,2
10.1.0.13,10.3.0.19,4,1,53410,1
10.3.0.17,10.3.0.19,2,1,217144,8
10.1.0.16,10.1.0.11,2,3,40816,4
10.2.0.11,10.2.0.18,2,2,77673,5
10.1.0.11,10.2.0.10,3,1,6800,1
10.2.0.20,10.2.0.19,3,4,66370,3
10.1.0.19,10.1.0.18,4,4,104904,5
10.1.0.17,10.1.0.12,2,1,52446,4
10.2.0.15,10.2.0.17,2,2,37644,2
10.2.0.17,10.2.0.14,2,3,127574,6
10.2.0.21,10.2.0.20,3,3,68407,4
10.2.0.20,10.2.0.14,3,3,138937,8
10.3.0.17,10.1.0.16,2,2,8036,1
10.3.0.19,10.1.0.13,1,4,26356,1
10.1.0.11,10.1.0.10,3,2,92188,4
10.2.0.11,10.1.0.11,2,3,2220,1
10.3.0.17,10.2.0.17,2,2,12110,1
10.3.0.10,10.1.0.15,2,4,24222,2
10.3.0.11,10.3.0.17,3,2,147918,8
10.1.0.20,10.1.0.14,4,4,40383,3
10.3.0.20,10.3.0.15,2,3,123850,5
10.3.0.21,10.3.0.16,3,4,55663,4
10.2.0.20,10.2.0.21,3,3,119589,4
10.2.0.20,10.3.0.20,3,2,12285,1
10.1.0.11,10.1.0.16,3,2,199645,7
10.2.0.14,10.2.0.17,3,2,54008,3
10.3.0.11,10.2.0.17,3,2,5140,1
10.1.0.10,10.1.0.11,2,3,164323,9
10.1.0.18,10.1.0.17,4,2,140438,10
10.3.0.16,10.3.0.11,4,3,56119,4
10.2.0.20,10.2.0.13,3,4,169070,7
10.3.0.19,10.3.0.10,1,2,50530,3
10.1.0.17,10.1.0.20,2,4,46598,3
10.3.0.17,10.3.0.10,2,2,163312,6
10.3.0.11,10.3.0.12,3,4,114348,5
10.3.0.17,10.3.0.18,2,4,56055,2
10.3.0.17,10.3.0.13,2,3,112204,6
10.3.0.17,10.1.0.10,2,2,26700,2
10.1.0.17,10.1.0.21,2,3,23701,3
10.2.0.19,10.2.0.10,4,1,50450,4
10.3.0.18,10.3.0.16,4,4,41499,3
10.1.0.10,10.2.0.21,2,3,8304,1
10.1.0.10,10.2.0.13,2,4,90597,3
10.1.0.10,10.1.0.17,2,2,81031,7
10.1.0.15,10.1.0.12,4,1,96195,7
10.1.0.16,10.2.0.17,2,2,20625,1
10.2.0.14,10.2.0.12,3,3,118766,5
10.2.0.18,10.2.0.17,2,2,154437,5
10.2.0.11,10.2.0.19,2,4,177576,8
10.1.0.16,10.1.0.18,2,4,87832,7
10.1.0.18,10.1.0.19,4,4,58632,3
10.2.0.16,10.2.0.14,2,3,104387,6
10.2.0.17,10.1.0.15,2,4,60828,3
10.1.0.21,10.1.0.13,3,4,124984,6
10.1.0.11,10.1.0.14,3,4,139410,8
10.3.0.20,10.3.0.18,2,4,60831,5
10.3.0.15,10.3.0.18,3,4,114917,5
10.2.0.21,10.2.0.19,3,4,101240,5
10.3.0.10,10.2.0.16,2,2,7200,1
10.3.0.13,10.2.0.14,3,3,39672,1
10.3.0.16,10.3.0.15,4,3,47256,3
10.1.0.13,10.1.0.12,4,1,210969,6
10.2.0.20,10.2.0.17,3,2,76280,2
10.2.0.17,10.2.0.21,2,3,165707,10
10.3.0.14,10.3.0.15,2,3,106656,6
10.1.0.11,10.1.0.13,3,4,70632,3
10.2.0.16,10.2.0.18,2,2,89929,9
10.3.0.16,10.2.0.11,4,2,53922,1
10.2.0.15,10.2.0.18,2,2,259690,8
10.1.0.21,10.1.0.17,3,2,103789,8
10.2.0.15,10.2.0.20,2,3,27255,3
10.2.0.14,10.2.0.21,3,3,61827,4
10.2.0.19,10.2.0.14,4,3,105127,4
10.1.0.21,10.3.0.19,3,1,40948,1
10.2.0.20,10.2.0.10,3,1,63238,4
10.3.0.19,10.3.0.13,1,3,99094,8
10.2.0.20,10.2.0.18,3,2,18521,2
10.1.0.15,10.2.0.18,4,2,6800,1
10.1.0.18,10.1.0.11,4,3,47910,4
10.3.0.13,10.3.0.19,3,1,158391,6
10.1.0.21,10.1.0.20,3,4,46498,2
10.2.0.13,10.1.0.18,4,4,48468,1
10.1.0.19,10.1.0.21,4,3,81142,5
10.1.0.14,10.3.0.10,4,2,1208,1
10.1.0.12,10.1.0.16,1,2,76696,3
10.1.0.12,10.3.0.15,1,3,68744,2
10.1.0.14,10.1.0.11,4,3,142102,6
10.1.0.13,10.2.0.14,4,3,4422,1
10.3.0.14,10.3.0.19,2,1,42177,5
10.2.0.13,10.2.0.20,4,3,109185,7
10.3.0.13,10.3.0.17,3,2,46718,4
10.1.0.17,10.2.0.14,2,3,34614,1
10.3.0.10,10.3.0.17,2,2,52579,4
10.3.0.19,10.2.0.15,1,2,80890,2
10.2.0.14,10.2.0.18,3,2,114442,5
10.2.0.12,10.3.0.11,3,3,16956,1
10.3.0.15,10.2.0.13,3,4,4750,1
10.2.0.19,10.2.0.11,4,2,18280,3
10.3.0.19,10.2.0.20,1,3,7376,1
10.2.0.21,10.2.0.12,3,3,59236,4
10.3.0.20,10.3.0.13,2,3,90170,6
10.1.0.17,10.1.0.14,2,4,61081,6
10.1.0.14,10.1.0.12,4,1,7758,2
10.2.0.18,10.2.0.20,2,3,82348,8
10.3.0.14,10.3.0.16,2,4,219970,9
10.2.0.14,10.1.0.11,3,3,6276,1
10.3.0.10,10.3.0.13,2,3,136621,5
10.2.0.11,10.2.0.20,2,3,182733,8
10.1.0.14,10.1.0.17,4,2,36288,1
10.2.0.21,10.3.0.19,3,1,32703,1
10.3.0.16,10.3.0.19,4,1,87182,5
10.3.0.21,10.1.0.16,3,2,13876,2
10.2.0.10,10.2.0.13,1,4,75795,3
10.3.0.20,10.3.0.14,2,2,86813,5
10.1.0.16,10.1.0.17,2,2,186370,5
10.2.0.15,10.1.0.16,2,2,11752,2
10.1.0.20,10.1.0.10,4,2,42540,3
10.3.0.10,10.3.0.21,2,3,75798,5
10.3.0.15,10.3.0.16,3,4,131729,5
10.1.0.10,10.1.0.12,2,1,100312,3
10.3.0.12,10.3.0.10,4,2,77302,6
10.3.0.20,10.3.0.16,2,4,31879,3
10.2.0.12,10.1.0.20,3,4,8340,1
10.2.0.13,10.2.0.19,4,4,138500,6
10.1.0.16,10.1.0.20,2,4,53186,2
10.3.0.10,10.2.0.21,2,3,8510,1
10.2.0.10,10.2.0.16,1,2,107491,3
10.1.0.16,10.1.0.15,2,4,94430,5
10.2.0.20,10.2.0.12,3,3,237482,8
10.3.0.12,10.3.0.14,4,2,116072,8
10.1.0.19,10.1.0.10,4,2,35584,2
10.2.0.12,10.2.0.13,3,4,41524,3
10.1.0.19,10.1.0.17,4,2,102552,7
10.1.0.11,10.2.0.12,3,3,4386,1
10.1.0.14,10.1.0.13,4,4,120982,4
10.1.0.19,10.1.0.15,4,4,12688,1
10.3.0.18,10.3.0.12,4,4,70413,4
10.1.0.16,10.1.0.14,2,4,94160,4
10.3.0.15,10.1.0.13,3,4,21330,1
10.1.0.10,10.1.0.21,2,3,69792,5
10.1.0.21,10.1.0.11,3,3,40355,2
10.3.0.15,10.2.0.20,3,3,7476,1
10.3.0.13,10.3.0.12,3,4,73630,3
10.2.0.13,10.2.0.17,4,2,17706,4
10.3.0.14,10.3.0.20,2,2,104985,5
10.2.0.16,10.3.0.10,2,2,2360,1
10.3.0.13,10.3.0.21,3,3,111479,3
10.1.0.18,10.2.0.11,4,2,26809,1
10.3.0.20,10.2.0.11,2,2,90732,2
10.2.0.14,10.2.0.19,3,4,21003,2
10.2.0.11,10.2.0.10,2,1,72143,4
10.1.0.17,10.2.0.10,2,1,14105,1
10.3.0.12,10.3.0.21,4,3,40200,3
10.1.0.17,10.1.0.15,2,4,56870,4
10.2.0.13,10.2.0.15,4,2,21452,2
10.3.0.11,10.3.0.20,3,2,65039,3
10.2.0.18,10.2.0.15,2,2,77143,4
10.3.0.16,10.3.0.13,4,3,25866,2
10.3.0.12,10.3.0.17,4,2,44761,3
10.2.0.14,10.2.0.16,3,2,150944,5
10.1.0.16,10.2.0.21,2,3,60414,2
10.3.0.10,10.3.0.19,2,1,179676,6
10.2.0.10,10.2.0.21,1,3,54894,3
10.1.0.12,10.2.0.20,1,3,83061,2
10.3.0.11,10.3.0.18,3,4,123251,4
10.2.0.18,10.2.0.21,2,3,106734,3
10.1.0.11,10.1.0.21,3,3,78199,3
10.2.0.14,10.2.0.10,3,1,66876,4
10.1.0.10,10.1.0.16,2,2,24307,3
10.1.0.18,10.1.0.12,4,1,103693,5
10.2.0.18,10.2.0.12,2,3,76114,4
10.1.0.11,10.1.0.19,3,4,83885,4
10.3.0.13,10.3.0.16,3,4,43294,2
10.1.0.15,10.3.0.18,4,4,2322,1
10.3.0.21,10.2.0.11,3,2,304,1
10.2.0.11,10.2.0.15,2,2,140147,4
10.3.0.17,10.3.0.21,2,3,55597,3
10.3.0.18,10.3.0.13,4,3,3042,1
10.2.0.21,10.3.0.15,3,3,8896,1
10.3.0.15,10.3.0.13,3,3,63385,4
10.3.0.14,10.3.0.13,2,3,62450,3
10.3.0.16,10.3.0.14,4,2,31482,3
10.2.0.21,10.1.0.21,3,3,18130,1
10.2.0.20,10.1.0.11,3,3,44904,2
10.1.0.15,10.1.0.17,4,2,38966,3
10.2.0.11,10.2.0.13,2,4,96843,2
10.2.0.21,10.1.0.12,3,1,62652,1
10.1.0.12,10.1.0.10,1,2,88831,2
10.2.0.15,10.1.0.14,2,4,6061,1
10.1.0.17,10.1.0.16,2,2,133273,5
10.1.0.21,10.1.0.18,3,4,12012,1
10.2.0.15,10.3.0.21,2,3,40668,3
10.3.0.13,10.3.0.15,3,3,159536,7
10.2.0.19,10.1.0.18,4,4,37920,1
10.1.0.12,10.3.0.12,1,4,2310,1
10.3.0.11,10.1.0.13,3,4,39168,1
10.2.0.18,10.3.0.10,2,2,64014,1
10.1.0.12,10.1.0.20,1,4,26055,3
10.2.0.18,10.3.0.20,2,2,44702,1
10.3.0.14,10.3.0.10,2,2,64884,4
10.1.0.14,10.1.0.19,4,4,164579,7
10.3.0.21,10.2.0.12,3,3,23670,1
10.3.0.11,10.2.0.11,3,2,45920,1
10.2.0.12,10.2.0.19,3,4,107702,5
10.1.0.20,10.2.0.13,4,4,27750,1
10.2.0.21,10.2.0.15,3,2,48615,5
10.2.0.16,10.2.0.21,2,3,37441,2
10.2.0.12,10.2.0.15,3,2,45552,3
10.2.0.21,10.2.0.11,3,2,132448,6
10.1.0.16,10.3.0.13,2,3,6777,1
10.1.0.13,10.1.0.17,4,2,44274,4
10.3.0.21,10.1.0.19,3,4,5104,1
10.3.0.10,10.3.0.15,2,3,34311,4
10.3.0.18,10.1.0.17,4,2,2426,2
10.3.0.11,10.3.0.15,3,3,17775,2
10.3.0.21,10.3.0.12,3,4,47156,2
10.1.0.17,10.1.0.13,2,4,11969,3
10.2.0.13,10.1.0.10,4,2,6366,1
10.2.0.21,10.2.0.14,3,3,75482,3
10.2.0.10,10.1.0.14,1,4,20275,1
10.3.0.18,10.3.0.11,4,3,26530,2
10.3.0.18,10.3.0.21,4,3,133402,5
10.1.0.20,10.1.0.18,4,4,132561,7
10.1.0.19,10.1.0.16,4,2,133347,4
10.2.0.17,10.2.0.13,2,4,40226,2
10.3.0.20,10.2.0.14,2,3,67857,2
10.2.0.18,10.2.0.16,2,2,78146,3
10.1.0.16,10.1.0.21,2,3,81041,6
10.2.0.17,10.2.0.19,2,4,105431,3
10.3.0.19,10.3.0.20,1,2,12105,1
10.1.0.15,10.1.0.19,4,4,76194,5
10.2.0.17,10.1.0.16,2,2,1872,1
10.2.0.11,10.1.0.16,2,2,19402,2
10.1.0.10,10.3.0.14,2,2,4369,1
10.1.0.20,10.1.0.12,4,1,39437,5
10.3.0.18,10.2.0.17,4,2,16458,1
10.1.0.12,10.3.0.14,1,2,6660,1
10.3.0.21,10.2.0.20,3,3,10470,1
10.1.0.14,10.1.0.15,4,4,86980,4
10.1.0.21,10.2.0.19,3,4,11286,1
10.3.0.11,10.1.0.16,3,2,3600,1
10.3.0.17,10.3.0.15,2,3,128979,5
10.3.0.14,10.3.0.11,2,3,92149,4
10.1.0.16,10.3.0.20,2,2,44948,1
10.1.0.12,10.1.0.21,1,3,34528,1
10.1.0.15,10.2.0.16,4,2,13661,1
10.2.0.16,10.2.0.20,2,3,71248,4
10.1.0.21,10.2.0.11,3,2,16401,1
10.3.0.21,10.3.0.19,3,1,52435,4
10.3.0.17,10.2.0.13,2,4,29550,1
10.1.0.12,10.1.0.19,1,4,30367,2
10.3.0.19,10.1.0.11,1,3,668,1
10.3.0.20,10.3.0.12,2,4,132682,6
10.1.0.21,10.3.0.12,3,4,59682,1
10.3.0.15,10.3.0.20,3,2,36733,2
10.2.0.15,10.2.0.10,2,1,73522,5
10.3.0.10,10.3.0.20,2,2,134969,6
10.1.0.15,10.1.0.13,4,4,39663,2
10.1.0.21,10.1.0.19,3,4,7326,2
10.2.0.16,10.1.0.10,2,2,24882,1
10.3.0.19,10.2.0.16,1,2,12368,1
10.3.0.14,10.2.0.18,2,2,41932,1
10.1.0.12,10.2.0.13,1,4,28725,1
10.2.0.13,10.1.0.20,4,4,4927,1
10.2.0.18,10.1.0.21,2,3,10245,2
10.3.0.21,10.3.0.20,3,2,31797,3
10.2.0.12,10.2.0.17,3,2,81455,4
10.1.0.16,10.2.0.18,2,2,1212,1
10.3.0.21,10.3.0.14,3,2,126152,6
10.1.0.15,10.2.0.19,4,4,21762,1
10.3.0.18,10.3.0.10,4,2,69261,6
10.1.0.10,10.2.0.17,2,2,29889,1
10.2.0.16,10.3.0.19,2,1,57575,1
10.3.0.17,10.3.0.16,2,4,52244,2
10.2.0.15,10.2.0.19,2,4,137445,4
10.1.0.11,10.1.0.15,3,4,53000,2
10.2.0.18,10.1.0.13,2,4,26714,1
10.2.0.18,10.2.0.19,2,4,54968,2
10.1.0.19,10.1.0.12,4,1,56740,2
10.1.0.16,10.2.0.15,2,2,26832,1
10.3.0.19,10.3.0.16,1,4,4369,1
10.1.0.20,10.1.0.21,4,3,50430,2
10.1.0.20,10.3.0.11,4,3,4293,1
10.1.0.10,10.2.0.12,2,3,30001,2
10.1.0.13,10.1.0.21,4,3,67518,4
10.3.0.15,10.2.0.15,3,2,15870,1
10.1.0.17,10.2.0.16,2,2,1212,1
10.1.0.17,10.2.0.12,2,3,42900,1
10.1.0.21,10.2.0.10,3,1,56592,1
10.3.0.20,10.3.0.10,2,2,78036,5
10.2.0.10,10.2.0.18,1,2,89560,3
10.1.0.10,10.2.0.11,2,2,13786,2
10.1.0.10,10.1.0.14,2,4,17205,1
10.2.0.11,10.3.0.14,2,2,12623,1
10.1.0.20,10.1.0.11,4,3,93185,4
10.2.0.18,10.2.0.13,2,4,51175,4
10.2.0.10,10.2.0.19,1,4,30288,2
10.2.0.10,10.3.0.11,1,3,52398,1
10.3.0.18,10.3.0.20,4,2,30327,3
10.2.0.11,10.3.0.10,2,2,29416,2
10.3.0.13,10.3.0.14,3,2,25964,2
10.2.0.17,10.3.0.11,2,3,4354,1
10.3.0.10,10.1.0.18,2,4,28384,2
10.2.0.13,10.1.0.12,4,1,12210,1
10.2.0.19,10.2.0.20,4,3,66386,4
10.3.0.10,10.2.0.15,2,2,17604,1
10.1.0.14,10.2.0.20,4,3,8823,1
10.1.0.18,10.1.0.15,4,4,54795,2
10.2.0.10,10.2.0.17,1,2,17564,2
10.2.0.14,10.3.0.20,3,2,872,1
10.3.0.18,10.2.0.14,4,3,43743,2
10.3.0.10,10.2.0.11,2,2,41648,1
10.3.0.15,10.3.0.10,3,2,51909,3
10.2.0.13,10.2.0.11,4,2,21645,1
10.1.0.11,10.3.0.13,3,3,40410,1
10.1.0.15,10.1.0.10,4,2,46788,4
10.3.0.14,10.1.0.20,2,4,17901,1
10.2.0.13,10.2.0.18,4,2,88940,3
10.1.0.13,10.1.0.14,4,4,77978,3
10.2.0.20,10.1.0.15,3,4,2538,1
10.3.0.19,10.3.0.12,1,4,86426,3
10.3.0.16,10.1.0.18,4,4,23700,1
10.3.0.11,10.3.0.13,3,3,46848,3
10.2.0.15,10.1.0.10,2,2,23160,1
10.2.0.16,10.3.0.12,2,4,63797,2
10.3.0.11,10.2.0.10,3,1,7182,1
10.1.0.18,10.3.0.11,4,3,11132,1
10.1.0.16,10.2.0.10,2,1,5108,1
10.1.0.18,10.1.0.14,4,4,35226,1
10.1.0.15,10.1.0.20,4,4,12712,2
10.3.0.14,10.1.0.21,2,3,59836,2
10.3.0.14,10.3.0.12,2,4,43320,4
10.3.0.14,10.1.0.16,2,2,5562,1
10.2.0.15,10.2.0.13,2,4,67916,4
10.1.0.20,10.3.0.14,4,2,990,1
10.3.0.12,10.2.0.11,4,2,22560,1
10.3.0.17,10.3.0.20,2,2,69662,3
10.1.0.11,10.1.0.20,3,4,85521,4
10.3.0.17,10.2.0.14,2,3,14112,1
10.3.0.10,10.2.0.12,2,3,27807,1
10.1.0.12,10.1.0.14,1,4,59094,3
10.2.0.16,10.3.0.16,2,4,21527,1
10.2.0.10,10.1.0.12,1,1,14674,1
10.3.0.19,10.3.0.18,1,4,64080,1
10.1.0.14,10.2.0.19,4,4,32832,1
10.3.0.14,10.1.0.17,2,2,5376,1
10.3.0.18,10.1.0.13,4,4,7020,1
10.2.0.17,10.3.0.10,2,2,8580,1
10.1.0.12,10.3.0.20,1,2,4579,1
10.2.0.12,10.2.0.18,3,2,64851,5
10.3.0.20,10.1.0.12,2,1,34092,1
10.1.0.12,10.1.0.17,1,2,53832,2
10.1.0.17,10.3.0.19,2,1,18200,1
10.2.0.11,10.3.0.11,2,3,12974,1
10.3.0.16,10.1.0.15,4,4,8687,1
10.3.0.21,10.3.0.10,3,2,31725,3
10.2.0.16,10.3.0.15,2,3,40663,1
10.2.0.12,10.1.0.19,3,4,8127,1
10.2.0.17,10.2.0.20,2,3,131780,5
10.1.0.13,10.1.0.18,4,4,56800,2
10.2.0.17,10.3.0.14,2,2,46190,2
