src_ip,dst_ip,src_vlan,dst_vlan,bytes
10.1.0.20,10.3.0.13,1,2,8460
10.3.0.17,10.3.0.15,2,1,11368
10.3.0.13,10.3.0.11,2,2,2415
10.1.0.20,10.3.0.19,1,1,11456
10.2.0.19,10.2.0.21,1,2,2835
10.2.0.20,10.2.0.15,2,1,15210
10.3.0.13,10.3.0.18,2,2,3864
10.3.0.12,10.3.0.21,1,2,2057
10.2.0.15,10.2.0.19,1,1,3402
10.1.0.10,10.1.0.21,1,2,11438
10.3.0.17,10.3.0.12,2,1,5005
10.1.0.18,10.1.0.15,2,2,11178
10.2.0.13,10.1.0.12,2,2,11690
10.2.0.12,10.2.0.13,2,2,19292
10.2.0.20,10.1.0.12,2,2,4528
10.2.0.16,10.2.0.12,1,2,2772
10.2.0.10,10.2.0.21,2,2,3177
10.3.0.15,10.1.0.12,1,2,772
10.3.0.13,10.3.0.21,2,2,6435
10.2.0.19,10.2.0.11,1,1,12820
10.3.0.14,10.3.0.10,1,2,10040
10.1.0.20,10.1.0.17,1,1,11552
10.1.0.20,10.1.0.12,1,2,9320
10.2.0.17,10.2.0.10,1,2,3124
10.2.0.14,10.3.0.12,2,1,6102
10.2.0.11,10.2.0.17,1,1,4236
10.1.0.11,10.1.0.13,1,2,15827
10.2.0.19,10.2.0.16,1,1,18645
10.1.0.11,10.1.0.19,1,2,720
10.1.0.16,10.1.0.11,1,1,1932
10.3.0.20,10.1.0.10,2,1,12376
10.3.0.10,10.3.0.13,2,2,4656
10.1.0.16,10.1.0.13,1,2,4200
10.2.0.21,10.2.0.17,2,1,12046
10.2.0.15,10.2.0.16,1,1,17208
10.1.0.19,10.1.0.15,2,2,12067
10.1.0.14,10.2.0.14,3,2,4566
10.2.0.15,10.3.0.17,1,2,12876
10.2.0.20,10.2.0.21,2,2,5685
10.3.0.16,10.3.0.20,3,2,5026
10.1.0.20,10.1.0.10,1,1,8290
10.3.0.15,10.2.0.18,1,1,10736
10.2.0.21,10.2.0.11,2,1,2145
10.1.0.21,10.1.0.14,2,3,4440
10.2.0.13,10.1.0.15,2,2,4180
10.3.0.18,10.3.0.13,2,2,3732
10.2.0.16,10.2.0.11,1,1,9152
10.2.0.20,10.2.0.11,2,1,3346
10.2.0.20,10.3.0.12,2,1,13838
10.1.0.18,10.1.0.10,2,1,8792
10.3.0.15,10.1.0.12,1,2,16856
10.2.0.17,10.2.0.13,1,2,11730
10.2.0.20,10.3.0.18,2,2,10143
10.3.0.12,10.3.0.14,1,1,4614
10.3.0.20,10.3.0.11,2,2,12222
10.2.0.21,10.2.0.17,2,1,19820
10.1.0.13,10.1.0.19,2,2,4482
10.3.0.13,10.3.0.14,2,1,12274
10.1.0.13,10.1.0.18,2,2,9210
10.2.0.15,10.2.0.16,1,1,1065
10.2.0.18,10.2.0.21,1,2,4071
10.2.0.13,10.2.0.18,2,1,11620
10.3.0.17,10.3.0.21,2,2,4740
10.1.0.14,10.1.0.11,3,1,4216
10.2.0.19,10.2.0.14,1,2,1970
10.2.0.20,10.2.0.19,2,1,20544
10.2.0.11,10.2.0.13,1,2,564
10.1.0.12,10.1.0.11,2,1,2076
10.3.0.14,10.3.0.18,1,2,11820
10.2.0.12,10.2.0.10,2,2,21420
10.3.0.16,10.3.0.15,3,1,13650
10.2.0.15,10.2.0.10,1,2,10344
10.3.0.20,10.3.0.15,2,1,8796
10.2.0.17,10.3.0.18,1,2,22040
10.3.0.11,10.2.0.17,2,1,1383
10.1.0.14,10.1.0.16,3,1,3244
10.2.0.14,10.2.0.17,2,1,8484
10.3.0.20,10.3.0.10,2,2,10127
10.1.0.14,10.2.0.16,3,1,6216
10.2.0.13,10.2.0.20,2,2,8755
10.3.0.19,10.1.0.11,1,1,1060
10.3.0.11,10.3.0.13,2,2,14098
10.2.0.17,10.2.0.16,1,1,10160
10.2.0.12,10.2.0.18,2,1,2835
10.2.0.14,10.2.0.16,2,1,11124
10.2.0.21,10.2.0.20,2,2,25160
10.1.0.11,10.1.0.21,1,2,11452
10.3.0.19,10.2.0.11,1,1,11844
10.1.0.14,10.1.0.21,3,2,3000
10.1.0.20,10.1.0.16,1,1,11627
10.2.0.15,10.3.0.18,1,2,11336
10.2.0.19,10.2.0.10,1,2,4684
10.3.0.15,10.3.0.10,1,2,3710
10.1.0.11,10.1.0.21,1,2,1445
10.1.0.20,10.3.0.11,1,2,2112
10.1.0.18,10.1.0.16,2,1,11902
10.3.0.21,10.3.0.13,2,2,3531
10.1.0.16,10.1.0.13,1,2,5508
10.3.0.18,10.3.0.11,2,2,1998
10.3.0.21,10.3.0.15,2,1,16032
10.2.0.17,10.2.0.16,1,1,4158
10.1.0.15,10.1.0.17,2,1,1046
10.3.0.19,10.2.0.13,1,2,7281
10.3.0.21,10.3.0.11,2,2,3756
10.2.0.14,10.2.0.20,2,2,1440
10.2.0.20,10.2.0.10,2,2,16704
10.2.0.13,10.1.0.14,2,3,19184
10.1.0.10,10.1.0.18,1,2,15380
10.1.0.16,10.1.0.10,1,1,5128
10.2.0.16,10.2.0.17,1,1,16524
10.3.0.10,10.3.0.14,2,1,10644
10.3.0.11,10.3.0.16,2,3,5360
10.2.0.18,10.1.0.17,1,1,11020
10.3.0.11,10.3.0.20,2,2,3428
10.3.0.20,10.3.0.14,2,1,3840
10.2.0.14,10.2.0.15,2,1,17901
10.1.0.13,10.1.0.12,2,2,3969
10.3.0.20,10.3.0.18,2,2,4212
10.3.0.20,10.3.0.19,2,1,10720
10.2.0.10,10.2.0.12,2,2,17062
10.3.0.13,10.3.0.15,2,1,2668
10.2.0.18,10.2.0.15,1,1,16035
10.3.0.11,10.3.0.18,2,2,4836
10.2.0.20,10.1.0.13,2,2,10089
10.1.0.14,10.1.0.17,3,1,16095
10.2.0.16,10.2.0.21,1,2,10068
10.1.0.14,10.1.0.13,3,2,14658
10.1.0.18,10.1.0.20,2,1,2295
10.3.0.15,10.3.0.13,1,2,6156
10.1.0.21,10.1.0.15,2,2,3609
10.2.0.16,10.2.0.10,1,2,12300
10.1.0.11,10.1.0.17,1,1,6708
10.3.0.11,10.3.0.20,2,2,3152
10.2.0.13,10.2.0.20,2,2,7168
10.2.0.13,10.2.0.10,2,2,7259
10.3.0.17,10.3.0.19,2,1,16432
10.2.0.21,10.2.0.20,2,2,9225
10.3.0.20,10.2.0.21,2,2,1702
10.3.0.10,10.2.0.14,2,2,17928
10.1.0.20,10.1.0.12,1,2,20520
10.2.0.14,10.2.0.13,2,2,4228
10.3.0.14,10.3.0.18,1,2,13392
10.1.0.21,10.1.0.16,2,1,5868
10.3.0.12,10.3.0.19,1,1,21632
10.3.0.18,10.3.0.11,2,2,4216
10.3.0.18,10.1.0.12,2,2,12144
10.3.0.13,10.3.0.10,2,2,8755
10.3.0.11,10.3.0.19,2,1,8272
10.3.0.20,10.3.0.12,2,1,10719
10.2.0.14,10.2.0.16,2,1,12020
10.1.0.10,10.1.0.16,1,1,2212
10.2.0.13,10.2.0.16,2,1,2353
10.3.0.18,10.3.0.16,2,3,5862
10.3.0.17,10.2.0.19,2,1,4837
10.2.0.13,10.2.0.14,2,2,14966
10.1.0.20,10.1.0.10,1,1,10305
10.1.0.12,10.1.0.18,2,2,13362
10.2.0.21,10.3.0.10,2,2,20286
10.1.0.13,10.1.0.20,2,1,20178
10.1.0.12,10.1.0.15,2,2,15300
10.3.0.18,10.3.0.12,2,1,6944
10.2.0.18,10.2.0.11,1,1,6578
10.2.0.13,10.2.0.16,2,1,5168
10.2.0.10,10.3.0.15,2,1,2504
10.2.0.18,10.1.0.17,1,1,21008
10.3.0.16,10.2.0.17,3,1,5797
10.2.0.12,10.2.0.18,2,1,2744
10.2.0.12,10.2.0.20,2,2,884
10.1.0.19,10.1.0.11,2,1,3088
10.3.0.13,10.3.0.14,2,1,9280
10.2.0.20,10.2.0.19,2,1,18145
10.1.0.18,10.1.0.10,2,1,19280
10.3.0.10,10.1.0.11,2,1,23480
10.3.0.15,10.3.0.18,1,2,5504
10.1.0.15,10.1.0.13,2,2,8170
10.3.0.20,10.3.0.12,2,1,6152
10.2.0.13,10.3.0.12,2,1,23994
10.3.0.21,10.3.0.13,2,2,10500
10.2.0.13,10.2.0.12,2,2,6671
10.3.0.19,10.3.0.12,1,1,1210
10.1.0.19,10.1.0.18,2,2,13720
10.3.0.20,10.3.0.10,2,2,22824
10.1.0.14,10.1.0.16,3,1,4536
10.2.0.10,10.2.0.14,2,2,10860
10.3.0.20,10.3.0.14,2,1,19380
10.1.0.12,10.2.0.11,2,1,3820
10.3.0.19,10.3.0.13,1,2,4500
10.2.0.16,10.2.0.11,1,1,20295
10.3.0.18,10.2.0.15,2,1,19076
10.1.0.21,10.1.0.10,2,1,6650
10.2.0.17,10.2.0.13,1,2,10353
10.2.0.11,10.2.0.18,1,1,11856
10.3.0.17,10.2.0.13,2,2,23360
10.3.0.14,10.3.0.12,1,1,2829
10.2.0.14,10.2.0.13,2,2,10566
10.3.0.14,10.3.0.13,1,2,3289
10.3.0.17,10.1.0.17,2,1,14520
10.1.0.15,10.1.0.14,2,3,1476
10.2.0.15,10.2.0.16,1,1,2784
10.1.0.20,10.3.0.18,1,2,11952
10.1.0.17,10.3.0.12,1,1,4432
10.2.0.16,10.2.0.12,1,2,11231
10.1.0.16,10.1.0.19,1,2,26020
10.2.0.10,10.2.0.11,2,1,6465
10.1.0.21,10.1.0.14,2,3,11925
10.3.0.16,10.3.0.21,3,2,11917
10.1.0.20,10.1.0.18,1,2,15333
10.3.0.10,10.2.0.19,2,1,5964
10.1.0.21,10.1.0.10,2,1,1164
10.3.0.15,10.2.0.12,1,2,12648
10.2.0.14,10.2.0.18,2,1,9933
10.3.0.11,10.2.0.20,2,2,9691
10.1.0.17,10.1.0.10,1,1,12901
10.2.0.11,10.3.0.14,1,1,14377
10.3.0.13,10.3.0.21,2,2,15616
10.2.0.17,10.2.0.18,1,1,2336
10.2.0.17,10.2.0.13,1,2,7398
10.1.0.13,10.1.0.18,2,2,5395
10.2.0.11,10.3.0.17,1,2,2448
10.1.0.18,10.1.0.11,2,1,10829
10.1.0.17,10.1.0.11,1,1,11792
10.3.0.10,10.3.0.21,2,2,14480
10.2.0.16,10.2.0.12,1,2,12036
10.3.0.17,10.3.0.10,2,2,8592
10.1.0.14,10.1.0.21,3,2,3294
10.1.0.19,10.1.0.13,2,2,19228
10.3.0.20,10.3.0.13,2,2,3606
10.2.0.15,10.2.0.13,1,2,6810
10.2.0.10,10.3.0.21,2,2,6195
10.3.0.14,10.3.0.17,1,2,18858
10.2.0.10,10.2.0.11,2,1,13744
10.3.0.21,10.3.0.13,2,2,8091
10.3.0.12,10.2.0.17,1,1,20860
10.2.0.15,10.3.0.11,1,2,10260
10.1.0.14,10.1.0.17,3,1,11495
10.1.0.12,10.1.0.20,2,1,14856
10.1.0.19,10.1.0.20,2,1,4356
10.1.0.18,10.1.0.13,2,2,4992
10.2.0.12,10.2.0.21,2,2,5404
10.3.0.10,10.3.0.20,2,2,4320
10.2.0.10,10.2.0.20,2,2,19114
10.1.0.21,10.1.0.19,2,2,2571
10.3.0.18,10.3.0.14,2,1,2892
10.3.0.10,10.3.0.20,2,2,10359
10.3.0.18,10.3.0.12,2,1,23940
10.3.0.18,10.3.0.14,2,1,1872
10.1.0.12,10.2.0.13,2,2,11396
10.3.0.20,10.3.0.12,2,1,3780
10.1.0.17,10.1.0.12,1,2,5285
10.3.0.11,10.3.0.20,2,2,4708
10.2.0.10,10.2.0.19,2,1,5491
10.2.0.10,10.2.0.12,2,2,4700
10.2.0.21,10.2.0.16,2,1,16861
10.2.0.16,10.2.0.10,1,2,4624
10.3.0.12,10.3.0.21,1,2,3230
10.3.0.11,10.3.0.15,2,1,2952
10.3.0.20,10.3.0.19,2,1,23409
10.2.0.10,10.2.0.16,2,1,9552
10.3.0.17,10.3.0.18,2,2,776
10.1.0.20,10.1.0.15,1,2,1764
10.2.0.19,10.2.0.14,1,2,1332
10.2.0.20,10.3.0.18,2,2,4029
10.2.0.11,10.2.0.13,1,2,7176
10.1.0.10,10.1.0.14,1,3,8554
10.1.0.19,10.1.0.13,2,2,3830
10.2.0.13,10.2.0.11,2,1,12339
10.2.0.11,10.2.0.12,1,2,17712
10.2.0.10,10.2.0.14,2,2,9600
10.1.0.16,10.2.0.19,1,1,12924
10.3.0.10,10.3.0.13,2,2,4014
10.1.0.14,10.1.0.18,3,2,3738
10.1.0.15,10.1.0.14,2,3,4606
10.3.0.21,10.1.0.15,2,2,10540
10.2.0.11,10.2.0.12,1,2,11713
10.3.0.14,10.2.0.16,1,1,3272
10.3.0.11,10.3.0.14,2,1,13530
10.2.0.12,10.2.0.11,2,1,5604
10.3.0.10,10.3.0.14,2,1,4368
10.2.0.19,10.2.0.11,1,1,1683
10.3.0.16,10.1.0.17,3,1,3495
10.1.0.13,10.1.0.16,2,1,5580
10.1.0.19,10.3.0.10,2,2,24700
10.2.0.12,10.2.0.15,2,1,15456
10.3.0.11,10.2.0.13,2,2,9571
10.2.0.12,10.2.0.16,2,1,4716
10.3.0.16,10.3.0.19,3,1,5090
10.3.0.16,10.3.0.15,3,1,13540
10.3.0.13,10.1.0.16,2,1,4650
10.1.0.11,10.2.0.21,1,2,7277
10.3.0.18,10.3.0.19,2,1,15888
10.1.0.21,10.1.0.12,2,2,3450
10.2.0.17,10.3.0.14,1,1,2624
10.1.0.13,10.1.0.11,2,1,13880
10.1.0.17,10.3.0.11,1,2,980
10.3.0.20,10.3.0.10,2,2,5655
10.1.0.19,10.2.0.18,2,1,4784
10.3.0.20,10.3.0.10,2,2,1704
10.3.0.15,10.3.0.18,1,2,10926
10.3.0.19,10.1.0.14,1,3,10300
10.3.0.15,10.3.0.13,1,2,19344
10.3.0.20,10.3.0.18,2,2,9295
10.3.0.20,10.3.0.21,2,2,5814
10.2.0.14,10.2.0.12,2,2,6916
10.3.0.11,10.3.0.14,2,1,1971
10.3.0.18,10.3.0.10,2,2,3113
10.3.0.14,10.3.0.13,1,2,2880
10.2.0.21,10.2.0.14,2,2,6915
10.3.0.10,10.3.0.18,2,2,8608
10.2.0.20,10.2.0.17,2,1,7659
10.2.0.12,10.2.0.16,2,1,8211
10.1.0.11,10.1.0.12,1,2,19584
10.3.0.13,10.3.0.15,2,1,10746
10.1.0.20,10.2.0.19,1,1,3438
10.2.0.20,10.2.0.17,2,1,4692
10.1.0.21,10.2.0.10,2,2,4355
10.3.0.11,10.3.0.12,2,1,5586
10.3.0.20,10.3.0.13,2,2,2760
10.2.0.14,10.2.0.19,2,1,925
10.2.0.21,10.2.0.15,2,1,1799
10.3.0.12,10.3.0.20,1,2,7730
10.2.0.21,10.2.0.20,2,2,5548
10.1.0.19,10.1.0.21,2,2,3600
10.2.0.15,10.2.0.11,1,1,5212
10.3.0.13,10.3.0.20,2,2,3486
10.3.0.12,10.3.0.17,1,2,14550
10.1.0.19,10.1.0.16,2,1,6045
10.2.0.19,10.2.0.20,1,2,3120
10.2.0.18,10.2.0.21,1,2,8676
10.3.0.13,10.2.0.10,2,2,4192
10.1.0.11,10.1.0.15,1,2,14223
10.1.0.13,10.1.0.12,2,2,9632
10.1.0.15,10.3.0.15,2,1,10450
10.2.0.19,10.2.0.12,1,2,8400
10.1.0.21,10.1.0.13,2,2,12570
10.1.0.15,10.1.0.21,2,2,6600
10.3.0.13,10.3.0.17,2,2,1190
10.1.0.18,10.1.0.21,2,2,5742
10.1.0.19,10.1.0.11,2,1,13827
10.3.0.16,10.3.0.20,3,2,5863
10.1.0.12,10.1.0.14,2,3,8503
10.1.0.10,10.1.0.13,1,2,1764
10.1.0.17,10.1.0.19,1,2,826
10.3.0.10,10.3.0.15,2,1,8912
10.1.0.13,10.1.0.15,2,2,2280
10.1.0.17,10.1.0.11,1,1,8632
10.1.0.15,10.1.0.14,2,3,13800
10.2.0.14,10.1.0.15,2,2,4940
10.2.0.17,10.2.0.20,1,2,1545
10.2.0.14,10.2.0.13,2,2,10591
10.2.0.17,10.2.0.10,1,2,14807
10.3.0.16,10.3.0.19,3,1,8022
10.1.0.14,10.2.0.10,3,2,15855
10.2.0.15,10.2.0.14,1,2,2517
10.2.0.18,10.1.0.11,1,1,15876
10.1.0.13,10.1.0.15,2,2,3072
10.2.0.17,10.2.0.16,1,1,9828
10.3.0.19,10.3.0.21,1,2,3000
10.3.0.16,10.3.0.14,3,1,8592
10.2.0.13,10.1.0.16,2,1,16926
10.1.0.15,10.3.0.11,2,2,2352
10.3.0.19,10.2.0.12,1,2,12510
10.3.0.20,10.3.0.21,2,2,17838
10.3.0.13,10.2.0.19,2,1,760
10.2.0.16,10.2.0.12,1,2,6613
10.1.0.18,10.1.0.16,2,1,2010
10.3.0.18,10.3.0.13,2,2,4536
10.3.0.19,10.3.0.14,1,1,7182
10.1.0.10,10.1.0.19,1,2,9158
10.1.0.16,10.1.0.17,1,1,450
10.3.0.21,10.3.0.10,2,2,5922
10.1.0.12,10.3.0.10,2,2,10699
10.3.0.17,10.1.0.16,2,1,14382
10.2.0.12,10.2.0.15,2,1,20484
10.1.0.12,10.1.0.15,2,2,15864
10.3.0.18,10.3.0.12,2,1,19125
10.1.0.13,10.3.0.20,2,2,1266
10.3.0.10,10.3.0.20,2,2,11022
10.3.0.17,10.3.0.15,2,1,4992
10.3.0.20,10.3.0.15,2,1,3012
10.2.0.10,10.2.0.14,2,2,7572
10.2.0.15,10.2.0.17,1,1,14487
10.2.0.10,10.2.0.20,2,2,5943
10.3.0.16,10.3.0.17,3,2,3000
10.2.0.16,10.2.0.15,1,1,2070
10.2.0.19,10.2.0.16,1,1,4500
10.1.0.13,10.1.0.11,2,1,8544
10.3.0.11,10.3.0.20,2,2,3780
10.3.0.21,10.3.0.17,2,2,20235
10.2.0.12,10.2.0.19,2,1,1164
10.3.0.12,10.3.0.18,1,2,13870
10.1.0.18,10.1.0.16,2,1,3000
10.3.0.17,10.1.0.16,2,1,14740
10.2.0.16,10.2.0.19,1,1,4560
10.1.0.11,10.1.0.15,1,2,5866
10.1.0.15,10.1.0.19,2,2,26391
10.1.0.15,10.2.0.10,2,2,1390
10.3.0.15,10.3.0.10,1,2,2717
10.1.0.18,10.3.0.12,2,1,15440
10.2.0.19,10.2.0.18,1,1,2277
10.3.0.18,10.3.0.12,2,1,4032
10.2.0.11,10.1.0.11,1,1,20265
10.1.0.21,10.1.0.10,2,1,5040
10.3.0.21,10.3.0.20,2,2,19280
10.3.0.11,10.3.0.13,2,2,19455
10.1.0.17,10.1.0.15,1,2,1816
10.3.0.20,10.3.0.17,2,2,9944
10.3.0.16,10.1.0.13,3,2,15768
10.1.0.19,10.1.0.11,2,1,8838
10.3.0.14,10.3.0.16,1,3,7614
10.1.0.18,10.1.0.16,2,1,20881
10.2.0.11,10.2.0.16,1,1,3129
10.1.0.11,10.1.0.12,1,2,2745
10.3.0.21,10.3.0.13,2,2,1566
10.1.0.15,10.1.0.12,2,2,8240
10.3.0.20,10.3.0.13,2,2,2898
10.3.0.14,10.3.0.21,1,2,11550
10.1.0.21,10.1.0.20,2,1,10416
10.2.0.13,10.2.0.18,2,1,11025
10.1.0.16,10.1.0.19,1,2,3064
10.3.0.14,10.3.0.20,1,2,1652
10.3.0.21,10.3.0.16,2,3,16968
10.2.0.20,10.2.0.18,2,1,14085
10.2.0.15,10.1.0.10,1,1,7884
10.2.0.11,10.2.0.19,1,1,9688
10.2.0.20,10.2.0.14,2,2,10350
10.2.0.19,10.1.0.10,1,1,17264
10.3.0.20,10.3.0.18,2,2,2478
10.1.0.20,10.1.0.14,1,3,7947
10.2.0.16,10.2.0.11,1,1,2820
10.2.0.12,10.2.0.17,2,1,3588
10.3.0.21,10.3.0.16,2,3,20682
10.2.0.14,10.2.0.17,2,1,1062
10.2.0.14,10.2.0.16,2,1,16704
10.3.0.18,10.3.0.19,2,1,1272
10.1.0.12,10.1.0.16,2,1,848
10.1.0.11,10.1.0.18,1,2,4381
10.1.0.13,10.2.0.15,2,1,11952
10.3.0.15,10.1.0.20,1,1,4564
10.1.0.18,10.2.0.15,2,1,9392
10.3.0.16,10.3.0.10,3,2,22680
10.3.0.16,10.3.0.11,3,2,6870
10.3.0.15,10.3.0.13,1,2,2865
10.2.0.14,10.2.0.15,2,1,26600
10.1.0.11,10.3.0.12,1,1,5652
10.1.0.15,10.1.0.14,2,3,754
10.3.0.12,10.3.0.10,1,2,7163
10.1.0.10,10.1.0.13,1,2,1966
10.2.0.10,10.1.0.15,2,2,6345
10.2.0.13,10.2.0.18,2,1,5499
10.1.0.17,10.3.0.10,1,2,2817
10.1.0.15,10.1.0.20,2,1,20320
10.2.0.10,10.2.0.14,2,2,11560
10.3.0.14,10.3.0.21,1,2,5175
10.1.0.19,10.1.0.20,2,1,13155
10.3.0.15,10.2.0.11,1,1,1945
10.1.0.15,10.1.0.12,2,2,21040
10.3.0.12,10.3.0.20,1,2,3132
10.3.0.19,10.1.0.12,1,2,22534
10.2.0.14,10.3.0.14,2,1,4921
10.1.0.12,10.1.0.17,2,1,10455
10.1.0.14,10.1.0.21,3,2,2442
10.3.0.18,10.3.0.13,2,2,8764
10.2.0.15,10.2.0.21,1,2,1844
10.2.0.17,10.2.0.10,1,2,2484
10.3.0.17,10.3.0.12,2,1,7902
10.1.0.16,10.1.0.19,1,2,3240
10.3.0.19,10.3.0.10,1,2,4236
10.3.0.21,10.3.0.16,2,3,9396
10.2.0.19,10.2.0.21,1,2,2766
10.1.0.18,10.1.0.17,2,1,2790
10.3.0.15,10.3.0.10,1,2,17068
10.1.0.10,10.1.0.20,1,1,543
10.1.0.13,10.2.0.18,2,1,6538
10.3.0.14,10.3.0.11,1,2,15435
10.2.0.10,10.2.0.13,2,2,7640
10.3.0.11,10.3.0.10,2,2,6975
10.2.0.15,10.3.0.20,1,2,18990
10.2.0.13,10.2.0.21,2,2,8760
10.2.0.18,10.2.0.19,1,1,2676
10.2.0.15,10.2.0.12,1,2,7280
10.1.0.21,10.1.0.10,2,1,7120
10.3.0.21,10.1.0.11,2,1,18791
10.1.0.21,10.1.0.13,2,2,7308
10.1.0.14,10.1.0.12,3,2,1638
10.3.0.21,10.3.0.15,2,1,11040
10.1.0.13,10.3.0.12,2,1,3770
10.1.0.19,10.1.0.10,2,1,5555
10.3.0.16,10.3.0.11,3,2,8748
10.1.0.19,10.2.0.10,2,2,18666
10.2.0.10,10.1.0.21,2,2,1604
10.1.0.18,10.2.0.14,2,2,7183
10.2.0.21,10.2.0.18,2,1,19872
10.1.0.21,10.1.0.13,2,2,7002
10.2.0.19,10.2.0.21,1,2,8197
10.2.0.20,10.2.0.13,2,2,3990
10.2.0.14,10.2.0.12,2,2,15147
10.3.0.10,10.3.0.20,2,2,15714
10.1.0.14,10.1.0.10,3,1,11033
10.3.0.20,10.2.0.10,2,2,11376
10.3.0.11,10.3.0.20,2,2,4908
10.3.0.21,10.2.0.15,2,1,5866
10.1.0.12,10.1.0.17,2,1,9330
10.3.0.11,10.3.0.18,2,2,4640
10.1.0.10,10.1.0.12,1,2,2340
10.1.0.16,10.1.0.18,1,2,5900
10.3.0.20,10.3.0.11,2,2,970
10.1.0.18,10.1.0.19,2,2,9150
10.3.0.13,10.3.0.11,2,2,2469
10.1.0.18,10.1.0.19,2,2,5269
10.3.0.13,10.1.0.12,2,2,15864
10.1.0.18,10.1.0.15,2,2,2051
10.1.0.15,10.1.0.13,2,2,3647
10.3.0.14,10.3.0.17,1,2,11580
10.3.0.17,10.3.0.14,2,1,7880
10.3.0.17,10.3.0.18,2,2,16211
10.2.0.15,10.2.0.16,1,1,7449
10.3.0.20,10.3.0.15,2,1,5380
10.1.0.11,10.1.0.14,1,3,21640
10.1.0.12,10.3.0.11,2,2,26315
10.3.0.14,10.3.0.12,1,1,15861
10.1.0.15,10.1.0.20,2,1,4185
10.1.0.13,10.1.0.21,2,2,1940
10.2.0.12,10.2.0.21,2,2,2208
10.2.0.21,10.2.0.14,2,2,2590
10.2.0.13,10.2.0.20,2,2,14955
10.1.0.21,10.1.0.20,2,1,4648
10.1.0.15,10.1.0.12,2,2,960
10.1.0.13,10.1.0.15,2,2,8740
10.3.0.11,10.3.0.15,2,1,10272
10.1.0.10,10.1.0.19,1,2,4564
10.3.0.17,10.1.0.15,2,2,9528
