ts,src_id,dst_id,src_ip,dst_ip,src_port,dst_port,protocol,packets,bytes,duration_ms
39,4,2,10.1.0.13,10.1.0.11,17009,212,TCP,61,2394,4691
40,29,28,10.3.0.14,10.3.0.13,4371,22,TCP,26,2861,2432
41,9,5,10.1.0.18,10.1.0.14,64782,226,TCP,80,7324,1452
42,24,19,10.2.0.21,10.2.0.16,28665,51248,UDP,52,43219,7573
43,7,2,10.1.0.16,10.1.0.11,39097,403,TCP,61,13776,2226
44,3,16,10.1.0.12,10.2.0.13,50947,309,TCP,48,8111,4067
45,17,16,10.2.0.14,10.2.0.13,1402,5075,UDP,10,46,35
46,18,22,10.2.0.15,10.2.0.19,42609,5016,UDP,3,42,56
47,19,4,10.2.0.16,10.1.0.13,24948,5044,UDP,2,85,35
48,32,36,10.3.0.17,10.3.0.21,16041,22,TCP,13,1702,1200
49,24,11,10.2.0.21,10.1.0.20,17666,5010,UDP,6,181,30
50,18,16,10.2.0.15,10.2.0.13,59555,5097,UDP,8,51,51
51,5,2,10.1.0.14,10.1.0.11,39270,187,TCP,19,14039,4539
52,18,24,10.2.0.15,10.2.0.21,18039,5080,UDP,1,63,59
53,11,8,10.1.0.20,10.1.0.17,16183,23685,TCP,27,24487,9821
54,20,13,10.2.0.17,10.2.0.10,26470,5008,UDP,9,124,41
55,15,19,10.2.0.12,10.2.0.16,14021,5012,UDP,1,170,25
56,30,32,10.3.0.15,10.3.0.17,8618,22,TCP,27,2241,441
57,28,25,10.3.0.13,10.3.0.10,62584,22,TCP,8,512,1024
58,34,32,10.3.0.19,10.3.0.17,6895,22,TCP,8,958,6133
59,7,4,10.1.0.16,10.1.0.13,59353,151,TCP,32,10073,3646
60,14,20,10.2.0.11,10.2.0.17,31440,5089,UDP,3,155,43
61,18,14,10.2.0.15,10.2.0.11,53965,13759,TCP,50,30962,9342
62,20,19,10.2.0.17,10.2.0.16,23511,5096,UDP,2,170,53
63,30,29,10.3.0.15,10.3.0.14,54204,22,TCP,14,305,4302
64,33,20,10.3.0.18,10.2.0.17,22489,22,TCP,7,550,1712
65,22,15,10.2.0.19,10.2.0.12,2595,5044,UDP,3,207,58
66,33,28,10.3.0.18,10.3.0.13,39167,22,TCP,2,1635,933
67,16,15,10.2.0.13,10.2.0.12,40460,5063,UDP,7,48,60
68,31,27,10.3.0.16,10.3.0.12,58660,22,TCP,23,1214,6596
69,4,11,10.1.0.13,10.1.0.20,40822,126,TCP,68,4709,2120
70,36,22,10.3.0.21,10.2.0.19,62764,22,TCP,9,1103,3913
71,31,35,10.3.0.16,10.3.0.20,43914,22,TCP,22,591,7684
72,4,10,10.1.0.13,10.1.0.19,29664,4670,ICMP,33,5392,8181
73,4,9,10.1.0.13,10.1.0.18,7351,301,TCP,26,7375,2418
74,6,10,10.1.0.15,10.1.0.19,43449,6463,ICMP,77,27457,6749
75,20,12,10.2.0.17,10.1.0.21,54482,5024,UDP,9,62,18
76,3,8,10.1.0.12,10.1.0.17,57986,247,TCP,50,711,900
77,28,22,10.3.0.13,10.2.0.19,11505,22,TCP,3,435,5424
78,1,10,10.1.0.10,10.1.0.19,6744,315,TCP,54,8756,2017
79,4,35,10.1.0.13,10.3.0.20,38937,265,TCP,58,9127,2467
80,3,8,10.1.0.12,10.1.0.17,59863,7677,UDP,46,35164,5417
81,31,9,10.3.0.16,10.1.0.18,35024,53549,TCP,14,14996,3433
82,6,7,10.1.0.15,10.1.0.16,29778,301,TCP,68,4960,4769
83,3,7,10.1.0.12,10.1.0.16,28171,407,TCP,23,4419,3522
84,20,4,10.2.0.17,10.1.0.13,42220,64960,TCP,3,12859,7021
85,7,19,10.1.0.16,10.2.0.16,41857,298,TCP,56,7263,2052
86,24,19,10.2.0.21,10.2.0.16,43490,5053,UDP,9,123,28
87,1,35,10.1.0.10,10.3.0.20,61770,264,TCP,53,14075,2637
88,34,35,10.3.0.19,10.3.0.20,2089,22,TCP,28,850,5736
89,11,7,10.1.0.20,10.1.0.16,40487,341,TCP,79,7604,4361
90,21,18,10.2.0.18,10.2.0.15,6672,5015,UDP,9,186,36
91,7,1,10.1.0.16,10.1.0.10,63637,418,TCP,10,3259,1474
92,21,17,10.2.0.18,10.2.0.14,65396,5012,UDP,6,147,47
93,19,18,10.2.0.16,10.2.0.15,15803,5017,UDP,4,193,38
94,33,26,10.3.0.18,10.3.0.11,35223,22,TCP,2,2982,3806
95,35,30,10.3.0.20,10.3.0.15,41679,22,TCP,6,656,4198
96,2,12,10.1.0.11,10.1.0.21,7855,42878,UDP,98,33536,4816
97,20,18,10.2.0.17,10.2.0.15,23325,5088,UDP,1,86,41
98,3,9,10.1.0.12,10.1.0.18,1626,406,TCP,60,2928,4182
99,29,36,10.3.0.14,10.3.0.21,59270,22,TCP,3,1287,984
100,19,20,10.2.0.16,10.2.0.17,36259,5099,UDP,7,162,25
101,21,14,10.2.0.18,10.2.0.11,22001,5036,UDP,6,112,59
102,35,32,10.3.0.20,10.3.0.17,45096,22,TCP,18,626,7735
103,16,19,10.2.0.13,10.2.0.16,6506,5076,UDP,8,121,46
104,4,1,10.1.0.13,10.1.0.10,61963,63507,ICMP,23,47865,4278
105,17,5,10.2.0.14,10.1.0.14,49434,5045,UDP,10,72,40
106,11,1,10.1.0.20,10.1.0.10,46446,38343,ICMP,71,33797,7289
107,9,2,10.1.0.18,10.1.0.11,19587,308,TCP,15,14765,4539
108,5,8,10.1.0.14,10.1.0.17,36350,346,TCP,61,8021,4746
109,20,16,10.2.0.17,10.2.0.13,53974,5068,UDP,3,168,13
110,7,11,10.1.0.16,10.1.0.20,14888,202,TCP,24,8875,1582
111,19,23,10.2.0.16,10.2.0.20,3615,5077,UDP,8,43,36
112,17,15,10.2.0.14,10.2.0.12,1963,5071,UDP,9,176,50
113,16,23,10.2.0.13,10.2.0.20,19106,5059,UDP,6,116,11
114,26,10,10.3.0.11,10.1.0.19,27546,22,TCP,9,2015,7854
115,25,12,10.3.0.10,10.1.0.21,57975,22,TCP,28,2119,5385
116,25,26,10.3.0.10,10.3.0.11,22096,22,TCP,15,2264,1026
117,25,34,10.3.0.10,10.3.0.19,51370,22,TCP,15,2669,2641
118,20,17,10.2.0.17,10.2.0.14,59821,5071,UDP,8,183,58
119,13,17,10.2.0.10,10.2.0.14,49880,5091,UDP,1,208,36
120,28,25,10.3.0.13,10.3.0.10,32698,22,TCP,17,2216,5925
121,17,28,10.2.0.14,10.3.0.13,31242,5083,UDP,8,124,35
122,31,34,10.3.0.16,10.3.0.19,33272,22,TCP,14,1057,6429
123,23,22,10.2.0.20,10.2.0.19,57807,5057,UDP,7,83,54
124,32,29,10.3.0.17,10.3.0.14,20646,22,TCP,20,1211,5855
125,19,17,10.2.0.16,10.2.0.14,33065,5006,UDP,7,155,50
126,24,11,10.2.0.21,10.1.0.20,50769,5010,UDP,9,71,53
127,3,6,10.1.0.12,10.1.0.15,17726,31956,ICMP,26,45020,6636
128,21,14,10.2.0.18,10.2.0.11,60690,5034,UDP,2,118,36
129,3,11,10.1.0.12,10.1.0.20,21463,201,TCP,48,2082,4516
130,28,12,10.3.0.13,10.1.0.21,43517,22,TCP,13,571,3538
131,13,18,10.2.0.10,10.2.0.15,1853,5084,UDP,1,66,23
132,4,1,10.1.0.13,10.1.0.10,41729,192,TCP,63,5060,1674
133,18,24,10.2.0.15,10.2.0.21,42469,5024,UDP,1,153,59
134,25,24,10.3.0.10,10.2.0.21,9716,22,TCP,22,1895,6156
135,6,4,10.1.0.15,10.1.0.13,32151,14234,ICMP,26,48960,3467
136,16,11,10.2.0.13,10.1.0.20,27945,65470,TCP,47,20415,7129
137,20,15,10.2.0.17,10.2.0.12,4313,5093,UDP,3,158,20
138,10,9,10.1.0.19,10.1.0.18,58545,27792,ICMP,9,17917,8664
139,5,7,10.1.0.14,10.1.0.16,45397,139,TCP,40,5375,1524
140,17,5,10.2.0.14,10.1.0.14,29202,5079,UDP,9,50,12
141,6,29,10.1.0.15,10.3.0.14,46532,249,TCP,53,7807,870
142,35,9,10.3.0.20,10.1.0.18,61811,44606,TCP,2,18460,1787
143,20,16,10.2.0.17,10.2.0.13,48786,5035,UDP,2,108,43
144,17,8,10.2.0.14,10.1.0.17,41376,53232,ICMP,24,46113,581
145,17,16,10.2.0.14,10.2.0.13,4905,22571,ICMP,32,3423,6106
146,32,19,10.3.0.17,10.2.0.16,30553,22,TCP,14,973,238
147,18,19,10.2.0.15,10.2.0.16,51222,5013,UDP,9,91,54
148,17,23,10.2.0.14,10.2.0.20,12794,5074,UDP,6,54,22
149,19,15,10.2.0.16,10.2.0.12,2070,5076,UDP,10,215,27
150,2,12,10.1.0.11,10.1.0.21,56378,257,TCP,34,7002,4694
151,25,6,10.3.0.10,10.1.0.15,44825,22,TCP,28,2421,4163
152,35,4,10.3.0.20,10.1.0.13,53024,22,TCP,8,401,194
153,31,34,10.3.0.16,10.3.0.19,39276,22,TCP,21,1043,4003
154,26,6,10.3.0.11,10.1.0.15,27405,22,TCP,4,1468,7356
155,14,7,10.2.0.11,10.1.0.16,35920,50580,TCP,77,62058,6523
156,27,30,10.3.0.12,10.3.0.15,56689,22,TCP,10,1847,1933
157,4,9,10.1.0.13,10.1.0.18,27781,348,TCP,78,5922,4163
158,3,11,10.1.0.12,10.1.0.20,7721,385,TCP,19,5930,1416
159,28,33,10.3.0.13,10.3.0.18,3078,22,TCP,14,2990,4256
160,10,8,10.1.0.19,10.1.0.17,20147,7008,TCP,44,36943,1186
161,34,16,10.3.0.19,10.2.0.13,39983,22,TCP,21,2771,7662
162,12,10,10.1.0.21,10.1.0.19,23821,133,TCP,17,5344,4843
163,34,23,10.3.0.19,10.2.0.20,23254,22,TCP,20,1962,7655
164,16,22,10.2.0.13,10.2.0.19,39040,5098,UDP,3,95,29
165,27,12,10.3.0.12,10.1.0.21,45772,22,TCP,18,2872,3654
166,5,8,10.1.0.14,10.1.0.17,37189,337,TCP,11,1384,4328
167,32,28,10.3.0.17,10.3.0.13,36181,16845,UDP,11,14496,3533
168,7,11,10.1.0.16,10.1.0.20,15308,19533,UDP,74,45060,8752
169,16,18,10.2.0.13,10.2.0.15,57284,5093,UDP,4,162,47
170,3,11,10.1.0.12,10.1.0.20,55491,237,TCP,37,2329,3434
171,32,34,10.3.0.17,10.3.0.19,20342,32274,TCP,89,61554,8923
172,15,14,10.2.0.12,10.2.0.11,63119,5095,UDP,5,68,45
173,10,11,10.1.0.19,10.1.0.20,31455,152,TCP,21,2491,1551
174,26,35,10.3.0.11,10.3.0.20,59059,22,TCP,14,1185,6099
175,4,7,10.1.0.13,10.1.0.16,41981,431,TCP,53,1163,3310
176,22,8,10.2.0.19,10.1.0.17,60116,5013,UDP,8,184,45
177,7,9,10.1.0.16,10.1.0.18,7229,244,TCP,12,6505,4736
178,31,36,10.3.0.16,10.3.0.21,57289,22,TCP,11,1587,6664
179,20,14,10.2.0.17,10.2.0.11,22617,5030,UDP,5,108,14
180,22,17,10.2.0.19,10.2.0.14,4603,5012,UDP,9,151,53
181,35,29,10.3.0.20,10.3.0.14,19158,22,TCP,2,2532,938
182,22,15,10.2.0.19,10.2.0.12,30931,5035,UDP,2,122,31
183,6,12,10.1.0.15,10.1.0.21,23201,313,TCP,63,2172,3811
184,1,8,10.1.0.10,10.1.0.17,29473,143,TCP,34,14923,4327
185,25,28,10.3.0.10,10.3.0.13,5658,3300,TCP,69,10262,6755
186,6,5,10.1.0.15,10.1.0.14,62273,124,TCP,72,14967,1228
187,11,9,10.1.0.20,10.1.0.18,51564,300,TCP,64,9069,4549
188,13,21,10.2.0.10,10.2.0.18,14194,5034,UDP,10,123,31
189,7,8,10.1.0.16,10.1.0.17,39801,294,TCP,61,5377,428
190,4,6,10.1.0.13,10.1.0.15,28469,385,TCP,27,12845,1088
191,4,7,10.1.0.13,10.1.0.16,56781,7918,TCP,52,56494,9653
192,15,18,10.2.0.12,10.2.0.15,52110,5076,UDP,10,167,42
193,12,9,10.1.0.21,10.1.0.18,49811,172,TCP,68,7701,2680
194,16,23,10.2.0.13,10.2.0.20,55979,5052,UDP,5,219,49
195,11,3,10.1.0.20,10.1.0.12,58647,432,TCP,75,7395,875
196,29,31,10.3.0.14,10.3.0.16,35178,21008,UDP,27,12281,3236
197,32,29,10.3.0.17,10.3.0.14,64867,22,TCP,4,338,3491
198,8,27,10.1.0.17,10.3.0.12,14535,433,TCP,6,10940,2938
199,10,14,10.1.0.19,10.2.0.11,2782,428,TCP,8,4318,1758
200,30,33,10.3.0.15,10.3.0.18,63835,22,TCP,28,2814,1541
201,10,8,10.1.0.19,10.1.0.17,50720,353,TCP,78,12721,123
202,18,24,10.2.0.15,10.2.0.21,45239,5098,UDP,2,196,32
203,8,4,10.1.0.17,10.1.0.13,59785,300,TCP,7,4697,1984
204,15,19,10.2.0.12,10.2.0.16,29586,5078,UDP,3,73,16
205,24,17,10.2.0.21,10.2.0.14,23112,5099,UDP,9,163,46
206,27,25,10.3.0.12,10.3.0.10,32365,22,TCP,13,1739,3945
207,11,1,10.1.0.20,10.1.0.10,25198,120,TCP,61,12749,3765
208,14,23,10.2.0.11,10.2.0.20,41579,5094,UDP,5,111,18
209,9,3,10.1.0.18,10.1.0.12,9233,195,TCP,5,12887,3018
210,26,27,10.3.0.11,10.3.0.12,28340,22,TCP,19,2867,2834
211,3,1,10.1.0.12,10.1.0.10,32456,140,TCP,54,567,1288
212,12,9,10.1.0.21,10.1.0.18,35521,400,TCP,40,7334,3282
213,36,35,10.3.0.21,10.3.0.20,31634,22,TCP,30,2875,103
214,9,2,10.1.0.18,10.1.0.11,48183,50946,TCP,24,58351,3285
215,10,8,10.1.0.19,10.1.0.17,16099,171,TCP,50,2608,2959
216,22,23,10.2.0.19,10.2.0.20,36841,5002,UDP,7,144,60
217,17,24,10.2.0.14,10.2.0.21,29393,5015,UDP,1,168,30
218,18,32,10.2.0.15,10.3.0.17,47032,5026,UDP,2,217,53
219,34,31,10.3.0.19,10.3.0.16,18686,22,TCP,17,1492,2668
220,13,23,10.2.0.10,10.2.0.20,49901,5078,UDP,5,208,30
221,19,15,10.2.0.16,10.2.0.12,25250,5022,UDP,10,55,29
222,10,2,10.1.0.19,10.1.0.11,34320,401,TCP,14,12714,4342
223,11,5,10.1.0.20,10.1.0.14,13970,255,TCP,3,7545,2104
224,3,4,10.1.0.12,10.1.0.13,54499,376,TCP,17,532,3370
225,16,22,10.2.0.13,10.2.0.19,15152,5021,UDP,1,106,34
226,18,20,10.2.0.15,10.2.0.17,28015,5014,UDP,5,193,58
227,17,36,10.2.0.14,10.3.0.21,7862,5055,UDP,9,79,18
228,17,16,10.2.0.14,10.2.0.13,53811,5036,UDP,5,139,12
229,21,23,10.2.0.18,10.2.0.20,2124,5024,UDP,2,211,60
230,25,31,10.3.0.10,10.3.0.16,58342,22,TCP,17,464,4521
231,2,12,10.1.0.11,10.1.0.21,35213,155,TCP,14,6760,2434
232,22,20,10.2.0.19,10.2.0.17,2128,5093,UDP,10,46,46
233,31,29,10.3.0.16,10.3.0.14,39068,22,TCP,29,1420,2156
234,34,35,10.3.0.19,10.3.0.20,40325,22,TCP,28,462,7259
235,26,36,10.3.0.11,10.3.0.21,61234,22,TCP,21,2616,6083
236,33,26,10.3.0.18,10.3.0.11,16683,22,TCP,26,732,1453
237,7,1,10.1.0.16,10.1.0.10,8677,409,TCP,30,5740,3213
238,34,29,10.3.0.19,10.3.0.14,62139,22,TCP,22,222,6080
239,9,10,10.1.0.18,10.1.0.19,2580,82,TCP,79,1042,89
240,10,1,10.1.0.19,10.1.0.10,19712,34643,UDP,89,34289,9638
241,30,29,10.3.0.15,10.3.0.14,18567,22,TCP,24,2567,583
242,15,24,10.2.0.12,10.2.0.21,63912,33645,TCP,78,53084,919
243,34,27,10.3.0.19,10.3.0.12,58279,22,TCP,16,2535,5420
244,29,27,10.3.0.14,10.3.0.12,18081,22,TCP,15,805,1971
245,13,17,10.2.0.10,10.2.0.14,34692,5037,UDP,2,125,41
246,34,30,10.3.0.19,10.3.0.15,38308,18302,UDP,42,54383,6010
247,3,5,10.1.0.12,10.1.0.14,41046,220,TCP,48,1105,450
248,9,2,10.1.0.18,10.1.0.11,50292,133,TCP,37,8244,3569
249,33,25,10.3.0.18,10.3.0.10,24835,25962,UDP,96,45328,3958
250,29,25,10.3.0.14,10.3.0.10,16622,22,TCP,14,2166,7916
251,14,13,10.2.0.11,10.2.0.10,30453,5089,UDP,3,206,60
252,19,22,10.2.0.16,10.2.0.19,42432,5010,UDP,4,49,29
253,8,10,10.1.0.17,10.1.0.19,1539,418,TCP,14,14868,4676
254,1,10,10.1.0.10,10.1.0.19,60527,95,TCP,4,9035,1155
255,22,20,10.2.0.19,10.2.0.17,58595,5018,UDP,1,172,34
256,12,9,10.1.0.21,10.1.0.18,62912,215,TCP,7,14015,3501
257,12,1,10.1.0.21,10.1.0.10,63152,402,TCP,66,14685,4684
258,24,15,10.2.0.21,10.2.0.12,32186,5069,UDP,3,205,19
259,5,12,10.1.0.14,10.1.0.21,65413,342,TCP,49,7710,4178
260,5,12,10.1.0.14,10.1.0.21,52870,184,TCP,32,2372,3304
261,12,3,10.1.0.21,10.1.0.12,24331,15782,TCP,94,39742,7530
262,9,1,10.1.0.18,10.1.0.10,39908,95,TCP,15,11957,508
263,36,28,10.3.0.21,10.3.0.13,24066,22,TCP,23,653,2078
264,26,4,10.3.0.11,10.1.0.13,34567,22,TCP,20,2424,7505
265,26,32,10.3.0.11,10.3.0.17,47878,44037,UDP,84,27617,6674
266,17,22,10.2.0.14,10.2.0.19,57915,5011,UDP,8,126,41
267,2,12,10.1.0.11,10.1.0.21,4774,293,TCP,68,10188,3098
268,27,32,10.3.0.12,10.3.0.17,25059,22,TCP,9,234,7440
269,17,16,10.2.0.14,10.2.0.13,39750,41591,ICMP,46,25137,7008
270,34,31,10.3.0.19,10.3.0.16,19117,62739,ICMP,8,48738,5294
271,27,30,10.3.0.12,10.3.0.15,6438,22,TCP,5,1772,3744
272,15,20,10.2.0.12,10.2.0.17,55955,5009,UDP,2,217,41
273,29,27,10.3.0.14,10.3.0.12,32069,22,TCP,14,1006,5225
274,28,35,10.3.0.13,10.3.0.20,45562,22,TCP,5,559,746
275,18,15,10.2.0.15,10.2.0.12,6884,5047,UDP,6,163,16
276,34,31,10.3.0.19,10.3.0.16,26005,22,TCP,14,2584,2424
277,9,21,10.1.0.18,10.2.0.18,58100,384,TCP,8,3269,4239
278,31,26,10.3.0.16,10.3.0.11,47212,22,TCP,11,2477,2401
279,1,8,10.1.0.10,10.1.0.17,40599,433,TCP,6,14162,4718
280,9,2,10.1.0.18,10.1.0.11,22538,239,TCP,15,971,3657
281,2,13,10.1.0.11,10.2.0.10,58252,173,TCP,54,1212,1774
282,8,11,10.1.0.17,10.1.0.20,14225,134,TCP,33,11005,1800
283,32,25,10.3.0.17,10.3.0.10,58665,22,TCP,28,1222,6129
284,13,17,10.2.0.10,10.2.0.14,46203,22084,ICMP,99,10424,1888
285,10,11,10.1.0.19,10.1.0.20,13907,288,TCP,77,12190,2849
286,7,3,10.1.0.16,10.1.0.12,57381,361,TCP,59,13986,3486
287,4,12,10.1.0.13,10.1.0.21,44126,7099,ICMP,47,53602,8814
288,11,1,10.1.0.20,10.1.0.10,2201,295,TCP,30,12262,635
289,34,27,10.3.0.19,10.3.0.12,9711,35780,TCP,88,17750,4906
290,34,27,10.3.0.19,10.3.0.12,57032,22,TCP,3,417,6977
291,1,11,10.1.0.10,10.1.0.20,20070,145,TCP,66,6442,1116
292,34,25,10.3.0.19,10.3.0.10,37300,22,TCP,21,2993,4884
293,18,22,10.2.0.15,10.2.0.19,28907,17325,TCP,80,15768,7189
294,3,4,10.1.0.12,10.1.0.13,55728,370,TCP,4,10294,3063
295,2,3,10.1.0.11,10.1.0.12,11979,22679,UDP,78,15352,2805
296,26,29,10.3.0.11,10.3.0.14,48768,22,TCP,15,1392,5735
297,2,7,10.1.0.11,10.1.0.16,29098,419,TCP,58,14067,4456
298,23,31,10.2.0.20,10.3.0.16,32455,5079,UDP,1,184,58
299,15,20,10.2.0.12,10.2.0.17,10348,5032,UDP,1,49,58
300,36,24,10.3.0.21,10.2.0.21,23708,22,TCP,12,276,4599
301,5,3,10.1.0.14,10.1.0.12,35610,96,TCP,53,14770,2348
302,22,23,10.2.0.19,10.2.0.20,3613,5018,UDP,3,125,31
303,19,23,10.2.0.16,10.2.0.20,58197,5011,UDP,3,197,23
304,1,10,10.1.0.10,10.1.0.19,16026,429,TCP,14,7281,949
305,36,30,10.3.0.21,10.3.0.15,57173,22,TCP,23,1186,6003
306,12,4,10.1.0.21,10.1.0.13,20176,374,TCP,17,9120,4815
307,30,28,10.3.0.15,10.3.0.13,13606,22,TCP,15,269,3547
308,18,7,10.2.0.15,10.1.0.16,33325,56873,UDP,68,8005,174
309,25,7,10.3.0.10,10.1.0.16,9648,22,TCP,8,2174,7124
310,31,9,10.3.0.16,10.1.0.18,47359,22,TCP,5,403,4842
311,14,18,10.2.0.11,10.2.0.15,8103,5079,UDP,1,56,16
312,15,14,10.2.0.12,10.2.0.11,37278,5072,UDP,1,213,58
313,6,3,10.1.0.15,10.1.0.12,49947,375,TCP,59,11133,1794
314,6,2,10.1.0.15,10.1.0.11,16856,167,TCP,61,6257,2648
315,28,19,10.3.0.13,10.2.0.16,11593,15942,UDP,27,31801,933
316,22,16,10.2.0.19,10.2.0.13,22133,5080,UDP,6,167,59
317,32,29,10.3.0.17,10.3.0.14,39522,22,TCP,9,2650,5278
318,32,28,10.3.0.17,10.3.0.13,32810,22,TCP,29,1102,5269
319,8,1,10.1.0.17,10.1.0.10,58458,187,TCP,60,14357,431
320,20,10,10.2.0.17,10.1.0.19,6781,5026,UDP,7,185,18
321,32,25,10.3.0.17,10.3.0.10,27069,22,TCP,14,2822,194
322,24,34,10.2.0.21,10.3.0.19,28625,5077,UDP,7,109,10
323,30,33,10.3.0.15,10.3.0.18,9084,22,TCP,29,1251,5414
324,6,3,10.1.0.15,10.1.0.12,62724,121,TCP,28,1956,1948
325,8,3,10.1.0.17,10.1.0.12,51939,356,TCP,4,5992,3038
326,24,22,10.2.0.21,10.2.0.19,57381,16669,UDP,12,32730,2887
327,8,6,10.1.0.17,10.1.0.15,55727,34140,TCP,82,45056,5946
328,11,9,10.1.0.20,10.1.0.18,19833,171,TCP,72,1620,522
329,18,13,10.2.0.15,10.2.0.10,65350,5081,UDP,10,115,44
330,29,27,10.3.0.14,10.3.0.12,54997,22,TCP,11,1276,4287
331,15,19,10.2.0.12,10.2.0.16,14533,5016,UDP,8,64,53
332,35,6,10.3.0.20,10.1.0.15,58662,22,TCP,11,2088,2425
333,34,19,10.3.0.19,10.2.0.16,60404,22,TCP,29,2342,5400
334,20,22,10.2.0.17,10.2.0.19,32331,5092,UDP,1,193,33
335,35,25,10.3.0.20,10.3.0.10,65078,15312,TCP,19,30571,5248
336,25,36,10.3.0.10,10.3.0.21,30076,22,TCP,22,2043,922
337,16,15,10.2.0.13,10.2.0.12,43356,5033,UDP,1,136,21
338,6,10,10.1.0.15,10.1.0.19,14403,278,TCP,80,10699,1996
339,25,27,10.3.0.10,10.3.0.12,39188,31617,UDP,13,11055,739
340,28,34,10.3.0.13,10.3.0.19,34868,22,TCP,24,1447,5623
341,6,11,10.1.0.15,10.1.0.20,14118,228,TCP,47,12001,4171
342,25,27,10.3.0.10,10.3.0.12,35497,22,TCP,23,372,6789
343,18,15,10.2.0.15,10.2.0.12,45956,5057,UDP,2,195,20
344,36,35,10.3.0.21,10.3.0.20,28731,22,TCP,28,816,4815
345,4,1,10.1.0.13,10.1.0.10,16185,98,TCP,70,10811,2393
346,2,23,10.1.0.11,10.2.0.20,63641,38046,ICMP,27,58533,7485
347,24,18,10.2.0.21,10.2.0.15,13370,5012,UDP,3,69,51
348,14,15,10.2.0.11,10.2.0.12,3388,5045,UDP,2,89,43
349,21,22,10.2.0.18,10.2.0.19,35531,5070,UDP,9,73,39
350,13,19,10.2.0.10,10.2.0.16,2145,5088,UDP,1,97,14
351,25,30,10.3.0.10,10.3.0.15,61382,22,TCP,7,1263,5384
352,15,20,10.2.0.12,10.2.0.17,33054,5036,UDP,9,126,24
353,31,15,10.3.0.16,10.2.0.12,44668,22,TCP,27,1271,664
354,28,5,10.3.0.13,10.1.0.14,20873,22,TCP,18,1170,5201
355,14,23,10.2.0.11,10.2.0.20,59226,37405,TCP,57,21887,9656
356,23,13,10.2.0.20,10.2.0.10,29407,5010,UDP,7,181,29
357,2,1,10.1.0.11,10.1.0.10,52668,281,TCP,69,11719,2871
358,34,28,10.3.0.19,10.3.0.13,60902,22,TCP,4,2346,645
359,23,21,10.2.0.20,10.2.0.18,62925,5040,UDP,4,158,36
