pieza_id,tipo_actuador,fecha_adquisicion,edad_dias,tiempo_uso_horas,ciclos_completados,temperatura_operacion_c,vibracion_rms,corriente_promedio_a,dias_desde_mantenimiento,pct_vida_util,tasa_fallo_por_1000h,eficiencia_energetica,drift_posicional_mm,clase_latente
120,Actuador Neumático,2021-04-01,1157,10534.5,226818,72.82,6.073,6.11,213,105.35,8.01,0.3778,1.4453,3
113,Actuador Neumático,2021-01-04,1244,12715.2,244045,69.26,5.641,7.04,188,127.15,10.387,0.471,1.4524,3
112,Motor Brushless DC,2009-07-17,5433,33647.8,1022841,114.81,2.38,23.786,713,112.16,10.725,0.4573,1.6151,3
7,Actuador Hidráulico,2022-10-03,607,3804.9,63897,44.05,1.131,7.461,46,25.37,0.3,0.9054,0.0333,1
32,Actuador Neumático,2023-08-28,278,2455.4,56293,37.96,1.284,3.265,31,24.55,0.28,0.9158,0.0321,1
101,Motor Brushless DC,2015-01-08,3432,33699.1,1090261,114.33,2.069,24.591,749,112.33,12.355,0.481,1.5965,3
78,Actuador Hidráulico,2021-05-01,1127,10223.4,185401,66.21,2.446,9.946,146,68.16,3.102,0.7012,0.5925,2
64,Motor Brushless DC,2016-04-18,2966,20538.5,714727,88.59,0.695,18.7,485,68.46,3.337,0.6992,0.3994,2
118,Motor Brushless DC,2015-07-26,3233,29393.8,958731,106.3,2.425,23.655,813,97.98,8.66,0.5201,1.8323,3
26,Servo Motor Industrial,2023-05-07,391,3354.6,30296,53.02,0.706,11.163,88,16.77,0.253,0.8896,0.0645,1
24,Actuador Hidráulico,2023-06-22,345,2437.6,47873,47.45,1.049,7.496,50,16.25,0.314,0.9318,0.0465,1
22,Motor Paso a Paso,2021-12-23,891,7073.6,237469,60.65,0.368,4.828,104,28.29,0.294,0.9151,0.0374,1
119,Motor Brushless DC,2009-03-10,5562,35517.8,1099476,113.18,2.202,24.195,816,118.39,7.953,0.4192,1.7829,3
53,Motor Brushless DC,2018-02-27,2286,18950.8,597225,92.4,0.883,18.7,453,63.17,3.314,0.7116,0.517,2
90,Actuador Neumático,2022-01-01,882,7393.7,155373,50.11,3.596,3.85,114,73.94,4.418,0.6781,0.4822,2
30,Actuador Neumático,2023-02-25,462,3317.6,52467,37.36,1.281,3.721,35,33.18,0.208,0.9028,0.0253,1
83,Actuador Neumático,2022-08-19,652,7232.4,120466,51.32,3.262,4.954,103,72.32,3.139,0.7335,0.4868,2
46,Actuador Hidráulico,2023-01-22,496,5894.9,104817,47.43,1.034,7.84,48,39.3,0.348,0.9333,0.06,1
93,Actuador Hidráulico,2018-11-29,2011,16231.1,323522,88.09,4.419,15.624,307,108.21,12.098,0.3924,1.4447,3
89,Motor Paso a Paso,2018-09-23,2078,15000.0,499124,77.51,1.031,5.5,314,60.0,2.918,0.7078,0.356,2
85,Actuador Neumático,2022-05-20,743,8043.3,180102,52.67,3.589,4.68,92,80.43,3.704,0.7069,0.3806,2
34,Actuador Neumático,2024-02-17,105,911.6,23129,40.28,1.294,3.78,28,9.12,0.168,0.9016,0.0247,1
41,Actuador Hidráulico,2022-08-29,642,4437.6,107114,44.95,0.978,7.569,42,29.58,0.237,0.975,0.0407,1
87,Motor Paso a Paso,2019-11-19,1656,16676.6,497309,76.33,1.013,6.863,316,66.71,3.766,0.683,0.3768,2
86,Servo Motor Industrial,2018-12-04,2006,17000.0,374272,77.42,1.773,15.047,207,85.0,3.459,0.7551,0.4879,2
2,Motor Paso a Paso,2022-11-11,568,5516.5,237477,59.82,0.407,4.638,118,22.07,0.268,0.915,0.0536,1
6,Actuador Hidráulico,2022-10-09,601,3779.5,70720,46.03,1.006,7.917,37,25.2,0.155,0.8824,0.0337,1
102,Motor Paso a Paso,2016-09-18,2813,30596.0,962525,103.41,2.497,8.942,494,122.38,11.004,0.51,1.6248,3
49,Actuador Neumático,2022-08-23,648,6664.7,145567,55.47,3.522,3.85,110,66.65,3.823,0.6697,0.4392,2
111,Motor Paso a Paso,2012-02-07,4498,29985.8,1033020,110.94,2.755,8.526,529,119.94,8.722,0.4155,1.1253,3
103,Servo Motor Industrial,2015-11-15,3121,23237.7,621983,89.12,4.706,20.021,423,116.19,11.329,0.4995,1.4896,3
35,Motor Brushless DC,2022-12-01,548,4523.6,51770,61.18,0.168,14.095,134,15.08,0.212,0.9024,0.0346,1
38,Actuador Hidráulico,2023-05-14,384,2804.2,70629,47.39,1.031,7.605,52,18.69,0.2,0.9449,0.0333,1
15,Actuador Hidráulico,2023-03-28,431,3620.8,75264,41.89,1.071,7.559,51,24.14,0.274,0.8974,0.0308,1
28,Motor Brushless DC,2021-12-24,890,7342.7,221273,60.87,0.32,13.85,153,24.48,0.329,0.9324,0.0531,1
104,Motor Paso a Paso,2015-09-05,3192,30128.8,902587,104.86,3.027,8.556,524,120.52,13.046,0.4217,1.9695,3
73,Motor Brushless DC,2019-02-11,1937,22922.9,717155,90.19,0.45,18.437,565,76.41,3.911,0.6525,0.3558,2
107,Servo Motor Industrial,2016-09-11,2820,22999.2,563950,89.03,4.002,20.733,450,115.0,11.234,0.4735,1.2411,3
50,Motor Brushless DC,2018-11-08,2032,19649.6,742669,90.39,0.849,17.701,433,65.5,2.778,0.6941,0.3836,2
62,Motor Paso a Paso,2017-12-24,2351,18875.2,483088,79.55,0.851,6.462,295,75.5,3.55,0.7238,0.3977,2
91,Actuador Hidráulico,2019-08-23,1744,15891.3,278227,89.25,4.679,15.497,295,105.94,11.344,0.4758,1.7997,3
37,Servo Motor Industrial,2022-07-24,678,4600.4,89176,54.06,0.748,11.28,67,23.0,0.34,0.9088,0.0788,1
98,Motor Paso a Paso,2016-02-10,3034,25535.5,824045,112.9,2.705,9.778,535,102.14,9.421,0.3934,1.4362,3
81,Actuador Hidráulico,2022-01-16,867,9898.1,255193,64.16,2.622,10.407,158,65.99,3.52,0.7502,0.5275,2
18,Actuador Hidráulico,2023-01-13,505,4189.9,107522,44.92,1.01,7.491,43,27.93,0.283,0.9505,0.0248,1
63,Motor Brushless DC,2016-08-24,2838,21891.6,716355,90.15,0.824,18.7,418,72.97,3.63,0.7544,0.3974,2
77,Servo Motor Industrial,2019-10-12,1694,14592.9,358453,77.36,1.639,14.606,223,72.96,3.262,0.7169,0.4282,2
59,Actuador Hidráulico,2020-07-31,1401,12239.3,210941,64.37,2.439,10.644,127,81.6,3.595,0.6878,0.4481,2
55,Actuador Hidráulico,2020-08-15,1386,11278.0,226135,64.21,2.745,9.912,133,75.19,3.663,0.6869,0.4422,2
74,Actuador Neumático,2022-06-15,717,7163.6,160329,48.44,3.305,4.602,117,71.64,3.092,0.6707,0.3555,2
88,Actuador Hidráulico,2020-05-24,1469,11380.3,251634,64.24,2.905,9.968,176,75.87,3.287,0.73,0.3612,2
39,Motor Brushless DC,2021-07-20,1047,10203.2,324323,63.06,0.227,14.205,109,34.01,0.214,0.8712,0.049,1
11,Motor Brushless DC,2023-11-08,206,1500.0,183387,67.94,0.289,13.944,162,5.0,0.186,0.9225,0.0303,1
8,Motor Brushless DC,2020-12-11,1268,7909.8,72458,68.18,0.3,13.864,166,26.37,0.293,0.9021,0.0491,1
56,Actuador Hidráulico,2020-03-31,1523,9443.0,171920,69.04,2.787,10.324,148,62.95,3.585,0.6758,0.4931,2
58,Motor Brushless DC,2018-11-10,2030,18000.0,502564,84.53,0.628,18.406,423,60.0,2.756,0.7321,0.4701,2
57,Motor Brushless DC,2020-01-02,1612,18000.0,476326,91.03,0.901,18.7,416,60.0,4.605,0.7368,0.4872,2
20,Actuador Neumático,2023-11-13,201,1997.8,21174,35.77,1.32,3.08,28,19.98,0.282,0.8808,0.0418,1
61,Motor Paso a Paso,2018-11-27,2013,19067.8,683063,83.51,1.051,5.5,296,76.27,4.035,0.6796,0.3797,2
27,Motor Brushless DC,2022-08-28,643,7433.2,216306,57.79,0.342,14.479,191,24.78,0.278,0.9234,0.0589,1
21,Actuador Hidráulico,2023-09-28,247,1828.4,53207,53.2,1.003,7.786,71,12.19,0.251,0.9008,0.0464,1
116,Actuador Hidráulico,2017-11-12,2393,15571.9,312052,82.12,4.288,15.628,255,103.81,12.179,0.4701,1.4373,3
60,Motor Brushless DC,2015-11-28,3108,21530.6,737646,89.76,0.45,18.7,445,71.77,3.78,0.7192,0.4297,2
29,Servo Motor Industrial,2020-06-21,1441,11000.0,287161,55.25,0.664,11.237,85,55.0,0.3,0.9137,0.0126,1
54,Actuador Neumático,2022-03-14,810,6838.1,121066,58.32,3.348,4.983,108,68.38,4.783,0.7214,0.3951,2
4,Actuador Neumático,2023-10-04,241,2759.5,39743,40.66,1.354,3.446,45,27.6,0.164,0.9465,0.0396,1
71,Motor Paso a Paso,2016-12-19,2721,17513.8,508914,80.2,1.102,5.5,270,70.06,4.001,0.6854,0.4858,2
76,Servo Motor Industrial,2020-09-12,1358,14238.9,318784,76.36,1.915,15.3,212,71.19,3.462,0.7077,0.3557,2
16,Motor Brushless DC,2023-07-15,322,3634.7,182161,66.39,0.177,14.536,159,12.12,0.17,0.9335,0.0499,1
3,Actuador Hidráulico,2023-10-29,216,1903.7,23456,48.37,1.1,7.4,38,12.69,0.307,0.9005,0.0375,1
45,Actuador Hidráulico,2023-08-01,305,3456.2,87544,49.66,0.985,7.328,41,23.04,0.301,0.8982,0.0481,1
114,Motor Brushless DC,2007-05-08,6234,38384.5,1305625,113.79,2.395,24.709,865,127.95,9.782,0.4603,1.6905,3
52,Motor Brushless DC,2016-01-26,3049,20510.7,711757,86.33,0.556,18.7,436,68.37,4.025,0.7144,0.487,2
44,Servo Motor Industrial,2023-03-18,441,2799.2,95047,56.32,0.713,11.529,94,14.0,0.269,0.929,0.0465,1
95,Motor Paso a Paso,2014-11-29,3472,26925.6,723681,109.11,2.445,9.771,502,107.7,13.56,0.4573,1.3465,3
84,Actuador Neumático,2021-12-21,893,6952.8,132239,52.41,3.367,4.574,114,69.53,3.175,0.6824,0.327,2
17,Actuador Hidráulico,2022-10-14,596,3947.5,52851,38.82,0.972,7.946,45,26.32,0.234,0.9293,0.0248,1
100,Motor Paso a Paso,2018-04-22,2232,26096.4,833709,108.92,2.843,8.906,551,104.39,13.18,0.4466,1.3795,3
69,Motor Brushless DC,2018-08-18,2114,18000.0,604779,90.98,0.775,18.7,537,60.0,3.293,0.7106,0.4695,2
19,Motor Paso a Paso,2021-02-23,1194,9555.3,262846,55.78,0.332,4.746,104,38.22,0.401,0.948,0.0288,1
51,Servo Motor Industrial,2017-09-07,2459,15646.0,443794,79.2,1.899,15.3,219,78.23,2.624,0.6881,0.3919,2
25,Servo Motor Industrial,2023-07-01,336,3654.7,103723,56.46,0.707,11.344,53,18.27,0.329,0.9297,0.0602,1
43,Servo Motor Industrial,2022-11-03,576,6414.9,122661,56.61,0.738,11.452,72,32.07,0.339,0.9255,0.0451,1
96,Motor Brushless DC,2010-10-26,4967,30931.8,1028072,107.17,2.747,23.435,743,103.11,12.451,0.4143,1.486,3
