pieza_id,tipo_actuador,fecha_adquisicion,edad_dias,tiempo_uso_horas,ciclos_completados,temperatura_operacion_c,vibracion_rms,corriente_promedio_a,dias_desde_mantenimiento,pct_vida_util,tasa_fallo_por_1000h,eficiencia_energetica,drift_posicional_mm,clase_latente
53,Motor Brushless DC,2018-02-27,2286,18950.8,597225,92.4,0.883,18.7,453,63.17,3.314,0.7116,0.517,2
90,Actuador Neumático,2022-01-01,882,7393.7,155373,50.11,3.596,3.85,114,73.94,4.418,0.6781,0.4822,2
30,Actuador Neumático,2023-02-25,462,3317.6,52467,37.36,1.281,3.721,35,33.18,0.208,0.9028,0.0253,1
83,Actuador Neumático,2022-08-19,652,7232.4,120466,51.32,3.262,4.954,103,72.32,3.139,0.7335,0.4868,2
46,Actuador Hidráulico,2023-01-22,496,5894.9,104817,47.43,1.034,7.84,48,39.3,0.348,0.9333,0.06,1
93,Actuador Hidráulico,2018-11-29,2011,16231.1,323522,88.09,4.419,15.624,307,108.21,12.098,0.3924,1.4447,3
85,Actuador Neumático,2022-05-20,743,8043.3,180102,52.67,3.589,4.68,92,80.43,3.704,0.7069,0.3806,2
34,Actuador Neumático,2024-02-17,105,911.6,23129,40.28,1.294,3.78,28,9.12,0.168,0.9016,0.0247,1
41,Actuador Hidráulico,2022-08-29,642,4437.6,107114,44.95,0.978,7.569,42,29.58,0.237,0.975,0.0407,1
87,Motor Paso a Paso,2019-11-19,1656,16676.6,497309,76.33,1.013,6.863,316,66.71,3.766,0.683,0.3768,2
86,Servo Motor Industrial,2018-12-04,2006,17000.0,374272,77.42,1.773,15.047,207,85.0,3.459,0.7551,0.4879,2
6,Actuador Hidráulico,2022-10-09,601,3779.5,70720,46.03,1.006,7.917,37,25.2,0.155,0.8824,0.0337,1
102,Motor Paso a Paso,2016-09-18,2813,30596.0,962525,103.41,2.497,8.942,494,122.38,11.004,0.51,1.6248,3
111,Motor Paso a Paso,2012-02-07,4498,29985.8,1033020,110.94,2.755,8.526,529,119.94,8.722,0.4155,1.1253,3
103,Servo Motor Industrial,2015-11-15,3121,23237.7,621983,89.12,4.706,20.021,423,116.19,11.329,0.4995,1.4896,3
35,Motor Brushless DC,2022-12-01,548,4523.6,51770,61.18,0.168,14.095,134,15.08,0.212,0.9024,0.0346,1
15,Actuador Hidráulico,2023-03-28,431,3620.8,75264,41.89,1.071,7.559,51,24.14,0.274,0.8974,0.0308,1
107,Servo Motor Industrial,2016-09-11,2820,22999.2,563950,89.03,4.002,20.733,450,115.0,11.234,0.4735,1.2411,3
50,Motor Brushless DC,2018-11-08,2032,19649.6,742669,90.39,0.849,17.701,433,65.5,2.778,0.6941,0.3836,2
98,Motor Paso a Paso,2016-02-10,3034,25535.5,824045,112.9,2.705,9.778,535,102.14,9.421,0.3934,1.4362,3
81,Actuador Hidráulico,2022-01-16,867,9898.1,255193,64.16,2.622,10.407,158,65.99,3.52,0.7502,0.5275,2
18,Actuador Hidráulico,2023-01-13,505,4189.9,107522,44.92,1.01,7.491,43,27.93,0.283,0.9505,0.0248,1
77,Servo Motor Industrial,2019-10-12,1694,14592.9,358453,77.36,1.639,14.606,223,72.96,3.262,0.7169,0.4282,2
59,Actuador Hidráulico,2020-07-31,1401,12239.3,210941,64.37,2.439,10.644,127,81.6,3.595,0.6878,0.4481,2
55,Actuador Hidráulico,2020-08-15,1386,11278.0,226135,64.21,2.745,9.912,133,75.19,3.663,0.6869,0.4422,2
88,Actuador Hidráulico,2020-05-24,1469,11380.3,251634,64.24,2.905,9.968,176,75.87,3.287,0.73,0.3612,2
39,Motor Brushless DC,2021-07-20,1047,10203.2,324323,63.06,0.227,14.205,109,34.01,0.214,0.8712,0.049,1
11,Motor Brushless DC,2023-11-08,206,1500.0,183387,67.94,0.289,13.944,162,5.0,0.186,0.9225,0.0303,1
8,Motor Brushless DC,2020-12-11,1268,7909.8,72458,68.18,0.3,13.864,166,26.37,0.293,0.9021,0.0491,1
56,Actuador Hidráulico,2020-03-31,1523,9443.0,171920,69.04,2.787,10.324,148,62.95,3.585,0.6758,0.4931,2
58,Motor Brushless DC,2018-11-10,2030,18000.0,502564,84.53,0.628,18.406,423,60.0,2.756,0.7321,0.4701,2
57,Motor Brushless DC,2020-01-02,1612,18000.0,476326,91.03,0.901,18.7,416,60.0,4.605,0.7368,0.4872,2
116,Actuador Hidráulico,2017-11-12,2393,15571.9,312052,82.12,4.288,15.628,255,103.81,12.179,0.4701,1.4373,3
29,Servo Motor Industrial,2020-06-21,1441,11000.0,287161,55.25,0.664,11.237,85,55.0,0.3,0.9137,0.0126,1
54,Actuador Neumático,2022-03-14,810,6838.1,121066,58.32,3.348,4.983,108,68.38,4.783,0.7214,0.3951,2
71,Motor Paso a Paso,2016-12-19,2721,17513.8,508914,80.2,1.102,5.5,270,70.06,4.001,0.6854,0.4858,2
16,Motor Brushless DC,2023-07-15,322,3634.7,182161,66.39,0.177,14.536,159,12.12,0.17,0.9335,0.0499,1
3,Actuador Hidráulico,2023-10-29,216,1903.7,23456,48.37,1.1,7.4,38,12.69,0.307,0.9005,0.0375,1
52,Motor Brushless DC,2016-01-26,3049,20510.7,711757,86.33,0.556,18.7,436,68.37,4.025,0.7144,0.487,2
44,Servo Motor Industrial,2023-03-18,441,2799.2,95047,56.32,0.713,11.529,94,14.0,0.269,0.929,0.0465,1
95,Motor Paso a Paso,2014-11-29,3472,26925.6,723681,109.11,2.445,9.771,502,107.7,13.56,0.4573,1.3465,3
100,Motor Paso a Paso,2018-04-22,2232,26096.4,833709,108.92,2.843,8.906,551,104.39,13.18,0.4466,1.3795,3
69,Motor Brushless DC,2018-08-18,2114,18000.0,604779,90.98,0.775,18.7,537,60.0,3.293,0.7106,0.4695,2
19,Motor Paso a Paso,2021-02-23,1194,9555.3,262846,55.78,0.332,4.746,104,38.22,0.401,0.948,0.0288,1
51,Servo Motor Industrial,2017-09-07,2459,15646.0,443794,79.2,1.899,15.3,219,78.23,2.624,0.6881,0.3919,2
25,Servo Motor Industrial,2023-07-01,336,3654.7,103723,56.46,0.707,11.344,53,18.27,0.329,0.9297,0.0602,1
43,Servo Motor Industrial,2022-11-03,576,6414.9,122661,56.61,0.738,11.452,72,32.07,0.339,0.9255,0.0451,1
96,Motor Brushless DC,2010-10-26,4967,30931.8,1028072,107.17,2.747,23.435,743,103.11,12.451,0.4143,1.486,3
