src_ip,dst_ip,src_vlan,dst_vlan,bytes_sum,n_flujos,is_inter
10.2.0.21,10.2.0.12,3,5,76975,3,true
10.3.0.11,10.1.0.13,1,4,2424,1,true
10.3.0.11,10.3.0.17,1,2,101494,3,true
10.2.0.14,10.2.0.19,3,5,126,1,true
10.2.0.12,10.2.0.17,5,3,512,4,true
10.1.0.18,10.2.0.18,4,5,3269,1,true
10.1.0.11,10.2.0.10,4,5,8400,2,true
10.3.0.17,10.3.0.10,2,1,4044,2,true
10.3.0.11,10.3.0.14,1,2,1392,1,true
10.2.0.20,10.3.0.16,3,1,184,1,true
10.3.0.21,10.2.0.21,1,3,276,1,true
10.3.0.21,10.3.0.15,1,2,5347,3,true
10.3.0.15,10.3.0.13,2,1,5860,3,true
10.2.0.15,10.1.0.16,5,4,8005,1,true
10.3.0.10,10.1.0.16,1,4,2174,1,true
10.2.0.11,10.2.0.15,3,5,56,1,true
10.3.0.13,10.2.0.16,1,5,31801,1,true
10.2.0.17,10.1.0.19,3,4,185,1,true
10.2.0.21,10.3.0.19,3,1,109,1,true
10.2.0.21,10.2.0.19,3,5,107956,4,true
10.3.0.20,10.1.0.15,1,4,2088,1,true
10.3.0.19,10.2.0.16,1,5,2342,1,true
10.2.0.17,10.2.0.19,3,5,193,1,true
10.3.0.10,10.3.0.12,1,2,12401,3,true
10.1.0.11,10.2.0.20,4,3,58533,1,true
10.2.0.21,10.2.0.15,3,5,69,1,true
10.2.0.11,10.2.0.12,3,5,18477,3,true
10.3.0.10,10.3.0.15,1,2,3562,2,true
10.3.0.16,10.2.0.12,1,5,1271,1,true
10.3.0.13,10.1.0.14,1,4,1170,1,true
10.2.0.20,10.2.0.18,3,5,158,1,true
10.1.0.15,10.2.0.21,4,3,2091,1,true
10.1.0.10,10.2.0.11,4,3,30966,1,true
10.2.0.11,10.1.0.18,3,4,202,1,true
10.1.0.18,10.3.0.19,4,1,8118,1,true
10.2.0.12,10.3.0.15,5,2,95,1,true
10.2.0.17,10.1.0.12,3,4,58,1,true
10.3.0.19,10.2.0.19,1,5,2331,1,true
10.1.0.18,10.3.0.16,4,1,6289,1,true
10.2.0.16,10.1.0.16,5,4,136,1,true
10.1.0.21,10.2.0.11,4,3,46062,1,true
10.3.0.15,10.3.0.19,2,1,4174,2,true
10.2.0.12,10.2.0.14,5,3,167,2,true
10.2.0.19,10.2.0.11,5,3,15365,4,true
10.3.0.19,10.1.0.19,1,4,627,1,true
10.2.0.14,10.3.0.15,3,2,81,1,true
10.3.0.10,10.1.0.20,1,4,3103,1,true
10.3.0.12,10.3.0.18,2,1,8960,1,true
10.3.0.16,10.2.0.17,1,3,2607,1,true
10.2.0.13,10.2.0.21,5,3,42786,2,true
10.3.0.10,10.2.0.12,1,5,1484,1,true
10.1.0.20,10.2.0.18,4,5,9522,1,true
10.3.0.14,10.1.0.12,2,4,667,1,true
10.1.0.19,10.2.0.20,4,3,8556,2,true
10.3.0.20,10.1.0.14,1,4,18801,2,true
10.2.0.17,10.3.0.16,3,1,80,1,true
10.2.0.20,10.3.0.18,3,1,56341,1,true
10.2.0.10,10.2.0.21,5,3,271,2,true
10.3.0.18,10.3.0.14,1,2,5442,4,true
10.2.0.16,10.2.0.21,5,3,334,3,true
10.2.0.11,10.3.0.17,3,2,217,1,true
10.1.0.10,10.2.0.19,4,5,13207,1,true
10.2.0.20,10.2.0.16,3,5,155,2,true
10.2.0.13,10.2.0.17,5,3,121,1,true
10.3.0.17,10.3.0.11,2,1,30857,4,true
10.1.0.21,10.3.0.19,4,1,14522,1,true
10.2.0.20,10.1.0.19,3,4,14084,1,true
10.2.0.17,10.1.0.10,3,4,43716,1,true
10.3.0.13,10.3.0.12,1,2,12978,3,true
10.2.0.21,10.2.0.10,3,5,169,1,true
10.2.0.20,10.2.0.12,3,5,161,1,true
10.3.0.14,10.3.0.20,2,1,35651,4,true
10.2.0.14,10.2.0.15,3,5,12376,3,true
10.1.0.12,10.3.0.10,4,1,11741,1,true
10.1.0.13,10.2.0.12,4,5,22206,2,true
10.2.0.14,10.3.0.17,3,2,144,1,true
10.2.0.20,10.3.0.14,3,2,81,1,true
10.2.0.14,10.2.0.18,3,5,456,3,true
10.1.0.21,10.3.0.18,4,1,2228,1,true
10.3.0.12,10.3.0.21,2,1,8078,4,true
10.3.0.18,10.1.0.14,1,4,954,1,true
10.2.0.13,10.3.0.16,5,1,55,1,true
10.3.0.13,10.3.0.14,1,2,2349,1,true
10.3.0.14,10.3.0.18,2,1,3319,2,true
10.2.0.15,10.3.0.13,5,1,103,1,true
10.1.0.13,10.2.0.18,4,5,10854,1,true
10.3.0.10,10.1.0.18,1,4,2765,2,true
10.2.0.11,10.2.0.19,3,5,46856,4,true
10.1.0.14,10.2.0.10,4,5,3899,1,true
10.1.0.15,10.2.0.16,4,5,3653,1,true
10.1.0.13,10.2.0.19,4,5,21951,2,true
10.3.0.19,10.2.0.15,1,5,50714,1,true
10.1.0.12,10.3.0.16,4,1,4978,2,true
10.3.0.14,10.3.0.19,2,1,1203,1,true
10.2.0.21,10.1.0.12,3,4,94,1,true
10.2.0.13,10.2.0.11,5,3,531,4,true
10.2.0.15,10.1.0.14,5,4,199,1,true
10.1.0.17,10.3.0.19,4,1,7329,1,true
10.3.0.17,10.2.0.18,2,5,55704,1,true
10.2.0.20,10.2.0.13,3,5,61193,2,true
10.3.0.12,10.1.0.20,2,4,1816,1,true
10.2.0.11,10.2.0.13,3,5,316,2,true
10.2.0.14,10.2.0.10,3,5,119,1,true
10.3.0.11,10.2.0.18,1,5,2856,1,true
10.3.0.16,10.1.0.12,1,4,2964,1,true
10.3.0.12,10.3.0.16,2,1,56112,4,true
10.2.0.16,10.1.0.18,5,4,93,1,true
10.3.0.19,10.1.0.21,1,4,360,1,true
10.3.0.15,10.2.0.20,2,3,463,1,true
10.1.0.14,10.3.0.17,4,2,7946,1,true
10.1.0.14,10.2.0.16,4,5,10219,1,true
10.3.0.12,10.3.0.20,2,1,51919,3,true
10.1.0.18,10.2.0.13,4,5,13270,1,true
10.3.0.10,10.3.0.17,1,2,2966,1,true
10.1.0.20,10.2.0.17,4,3,5372,1,true
10.3.0.11,10.2.0.11,1,3,36335,1,true
10.3.0.21,10.2.0.13,1,5,1409,1,true
10.1.0.15,10.3.0.13,4,1,13827,1,true
10.2.0.12,10.1.0.19,5,4,174,1,true
10.3.0.11,10.3.0.15,1,2,1308,1,true
10.3.0.21,10.3.0.12,1,2,762,1,true
10.2.0.13,10.3.0.18,5,1,58,1,true
10.2.0.13,10.2.0.14,5,3,10495,1,true
10.3.0.14,10.3.0.11,2,1,12737,2,true
10.1.0.17,10.2.0.15,4,5,24334,1,true
10.1.0.11,10.3.0.18,4,1,5383,1,true
10.3.0.16,10.3.0.15,1,2,2693,1,true
10.1.0.20,10.3.0.13,4,1,3087,1,true
10.2.0.17,10.1.0.18,3,4,185,1,true
10.1.0.17,10.3.0.21,4,1,74126,2,true
10.2.0.10,10.2.0.17,5,3,201,2,true
10.2.0.18,10.2.0.17,5,3,47,1,true
10.2.0.17,10.3.0.10,3,1,87,1,true
10.3.0.18,10.1.0.13,1,4,9864,1,true
10.3.0.11,10.1.0.14,1,4,718,1,true
10.2.0.11,10.1.0.17,3,4,138,1,true
10.3.0.12,10.3.0.13,2,1,2136,3,true
10.3.0.11,10.2.0.13,1,5,2668,1,true
10.3.0.17,10.3.0.18,2,1,1564,1,true
10.1.0.17,10.3.0.11,4,1,614,1,true
10.3.0.15,10.3.0.10,2,1,19595,1,true
10.1.0.10,10.3.0.21,4,1,56655,1,true
10.2.0.19,10.1.0.13,5,4,179,1,true
10.1.0.10,10.3.0.19,4,1,2037,1,true
10.3.0.10,10.3.0.14,1,2,63366,2,true
10.1.0.14,10.3.0.15,4,2,4841,1,true
10.3.0.10,10.2.0.17,1,3,1455,1,true
10.1.0.16,10.3.0.20,4,1,12703,1,true
10.3.0.18,10.2.0.21,1,3,2100,1,true
10.1.0.14,10.2.0.21,4,3,2781,1,true
10.3.0.14,10.2.0.19,2,5,512,1,true
10.2.0.18,10.1.0.11,5,4,38560,1,true
10.3.0.15,10.3.0.21,2,1,2998,1,true
10.1.0.14,10.2.0.19,4,5,5372,1,true
10.3.0.17,10.2.0.15,2,5,2254,1,true
10.2.0.19,10.3.0.12,5,2,81,1,true
10.2.0.10,10.1.0.13,5,4,170,1,true
10.3.0.12,10.3.0.19,2,1,795,1,true
10.2.0.11,10.1.0.14,3,4,193,1,true
10.3.0.15,10.3.0.11,2,1,1294,1,true
10.2.0.14,10.1.0.10,3,4,206,1,true
10.2.0.14,10.2.0.16,3,5,300,2,true
10.2.0.18,10.1.0.17,5,4,161,1,true
10.2.0.11,10.2.0.16,3,5,130,1,true
10.2.0.17,10.3.0.18,3,1,78,1,true
10.3.0.18,10.1.0.16,1,4,25648,1,true
10.1.0.14,10.2.0.15,4,5,1552,1,true
10.3.0.15,10.3.0.20,2,1,2481,1,true
10.2.0.16,10.3.0.15,5,2,188,1,true
10.3.0.17,10.3.0.20,2,1,1454,1,true
10.2.0.18,10.1.0.16,5,4,272,2,true
10.3.0.18,10.3.0.12,1,2,1413,1,true
10.2.0.19,10.3.0.10,5,1,45514,1,true
10.2.0.18,10.2.0.21,5,3,248,2,true
10.1.0.18,10.3.0.10,4,1,9949,1,true
10.3.0.15,10.1.0.17,2,4,2024,1,true
10.2.0.14,10.3.0.19,3,1,122,1,true
10.2.0.15,10.2.0.20,5,3,51120,1,true
10.1.0.16,10.2.0.20,4,3,10245,1,true
10.1.0.11,10.2.0.11,4,3,6618,1,true
10.2.0.21,10.1.0.16,3,4,145,1,true
10.3.0.13,10.2.0.12,1,5,27939,1,true
10.2.0.20,10.3.0.11,3,1,162,1,true
10.1.0.10,10.2.0.21,4,3,3915,1,true
10.1.0.20,10.3.0.17,4,2,4452,1,true
10.2.0.12,10.3.0.11,5,1,47,1,true
10.2.0.10,10.1.0.18,5,4,208,1,true
10.2.0.19,10.1.0.21,5,4,80,1,true
10.2.0.19,10.3.0.19,5,1,95,1,true
10.2.0.11,10.1.0.21,3,4,152,1,true
10.3.0.18,10.2.0.14,1,3,1102,1,true
10.2.0.17,10.3.0.13,3,1,58378,1,true
10.1.0.10,10.2.0.18,4,5,5275,1,true
10.2.0.14,10.1.0.13,3,4,56,1,true
