nodo_u,nodo_v,tipo_u,tipo_v,bat_u,bat_v,costo_mah
R-06,GW-2,repetidor,gateway,65.0,100.0,2.94
S-29,R-01,sensor,repetidor,40.0,40.0,7.425
R-08,GW-2,repetidor,gateway,85.0,100.0,1.43
S-25,R-09,sensor,repetidor,45.0,45.0,4.9
S-05,S-27,sensor,sensor,65.0,50.0,5.51
S-24,R-04,sensor,repetidor,60.0,75.0,2.94
R-04,GW-2,repetidor,gateway,75.0,100.0,0.72
R-07,GW-1,repetidor,gateway,65.0,100.0,2.2
S-06,S-26,sensor,sensor,30.0,40.0,10.633
S-02,S-09,sensor,sensor,50.0,50.0,3.8
S-21,R-01,sensor,repetidor,25.0,40.0,3.8
S-14,R-03,sensor,repetidor,35.0,65.0,2.777
S-30,S-34,sensor,sensor,55.0,45.0,5.7
S-03,R-03,sensor,repetidor,50.0,65.0,1.754
R-10,GW-3,repetidor,gateway,55.0,100.0,2.97
S-05,R-10,sensor,repetidor,65.0,55.0,3.764
S-35,R-10,sensor,repetidor,20.0,55.0,3.764
R-09,GW-1,repetidor,gateway,45.0,100.0,2.64
S-15,R-03,sensor,repetidor,55.0,65.0,2.369
S-24,R-11,sensor,repetidor,60.0,90.0,0.7
S-29,R-05,sensor,repetidor,40.0,45.0,4.011
S-31,R-09,sensor,repetidor,40.0,45.0,3.556
S-12,R-07,sensor,repetidor,60.0,65.0,4.4
S-35,R-03,sensor,repetidor,20.0,65.0,1.023
R-09,GW-2,repetidor,gateway,45.0,100.0,1.2
S-03,R-08,sensor,repetidor,50.0,85.0,3.335
S-30,R-03,sensor,repetidor,55.0,65.0,2.485
R-03,GW-1,repetidor,gateway,65.0,100.0,0.84
S-33,R-06,sensor,repetidor,70.0,65.0,3.069
