pieza_id,tipo_actuador,fecha_adquisicion,edad_dias,cluster_id,cluster_nombre,pct_vida_util,tiempo_uso_horas,dias_desde_mantenimiento,tasa_fallo_por_1000h,vibracion_rms,temperatura_operacion_c,eficiencia_energetica,drift_posicional_mm,corriente_promedio_a
34,Actuador Neumático,2024-02-17,105,2,Mantenimiento Urgente,9.12,911.6,28,0.168,1.294,40.28,0.9016,0.0247,3.78
41,Actuador Hidráulico,2022-08-29,642,2,Mantenimiento Urgente,29.58,4437.6,42,0.237,0.978,44.95,0.975,0.0407,7.569
87,Motor Paso a Paso,2019-11-19,1656,3,Reemplazo,66.71,16676.6,316,3.766,1.013,76.33,0.683,0.3768,6.863
86,Servo Motor Industrial,2018-12-04,2006,3,Reemplazo,85.0,17000.0,207,3.459,1.773,77.42,0.7551,0.4879,15.047
6,Actuador Hidráulico,2022-10-09,601,2,Mantenimiento Urgente,25.2,3779.5,37,0.155,1.006,46.03,0.8824,0.0337,7.917
102,Motor Paso a Paso,2016-09-18,2813,1,Mantenimiento Programado,122.38,30596.0,494,11.004,2.497,103.41,0.51,1.6248,8.942
111,Motor Paso a Paso,2012-02-07,4498,1,Mantenimiento Programado,119.94,29985.8,529,8.722,2.755,110.94,0.4155,1.1253,8.526
103,Servo Motor Industrial,2015-11-15,3121,1,Mantenimiento Programado,116.19,23237.7,423,11.329,4.706,89.12,0.4995,1.4896,20.021
35,Motor Brushless DC,2022-12-01,548,2,Mantenimiento Urgente,15.08,4523.6,134,0.212,0.168,61.18,0.9024,0.0346,14.095
15,Actuador Hidráulico,2023-03-28,431,2,Mantenimiento Urgente,24.14,3620.8,51,0.274,1.071,41.89,0.8974,0.0308,7.559
107,Servo Motor Industrial,2016-09-11,2820,1,Mantenimiento Programado,115.0,22999.2,450,11.234,4.002,89.03,0.4735,1.2411,20.733
50,Motor Brushless DC,2018-11-08,2032,3,Reemplazo,65.5,19649.6,433,2.778,0.849,90.39,0.6941,0.3836,17.701
98,Motor Paso a Paso,2016-02-10,3034,1,Mantenimiento Programado,102.14,25535.5,535,9.421,2.705,112.9,0.3934,1.4362,9.778
81,Actuador Hidráulico,2022-01-16,867,3,Reemplazo,65.99,9898.1,158,3.52,2.622,64.16,0.7502,0.5275,10.407
18,Actuador Hidráulico,2023-01-13,505,2,Mantenimiento Urgente,27.93,4189.9,43,0.283,1.01,44.92,0.9505,0.0248,7.491
77,Servo Motor Industrial,2019-10-12,1694,3,Reemplazo,72.96,14592.9,223,3.262,1.639,77.36,0.7169,0.4282,14.606
59,Actuador Hidráulico,2020-07-31,1401,3,Reemplazo,81.6,12239.3,127,3.595,2.439,64.37,0.6878,0.4481,10.644
55,Actuador Hidráulico,2020-08-15,1386,3,Reemplazo,75.19,11278.0,133,3.663,2.745,64.21,0.6869,0.4422,9.912
88,Actuador Hidráulico,2020-05-24,1469,3,Reemplazo,75.87,11380.3,176,3.287,2.905,64.24,0.73,0.3612,9.968
39,Motor Brushless DC,2021-07-20,1047,2,Mantenimiento Urgente,34.01,10203.2,109,0.214,0.227,63.06,0.8712,0.049,14.205
11,Motor Brushless DC,2023-11-08,206,2,Mantenimiento Urgente,5.0,1500.0,162,0.186,0.289,67.94,0.9225,0.0303,13.944
8,Motor Brushless DC,2020-12-11,1268,2,Mantenimiento Urgente,26.37,7909.8,166,0.293,0.3,68.18,0.9021,0.0491,13.864
56,Actuador Hidráulico,2020-03-31,1523,3,Reemplazo,62.95,9443.0,148,3.585,2.787,69.04,0.6758,0.4931,10.324
58,Motor Brushless DC,2018-11-10,2030,3,Reemplazo,60.0,18000.0,423,2.756,0.628,84.53,0.7321,0.4701,18.406
57,Motor Brushless DC,2020-01-02,1612,3,Reemplazo,60.0,18000.0,416,4.605,0.901,91.03,0.7368,0.4872,18.7
116,Actuador Hidráulico,2017-11-12,2393,1,Mantenimiento Programado,103.81,15571.9,255,12.179,4.288,82.12,0.4701,1.4373,15.628
29,Servo Motor Industrial,2020-06-21,1441,2,Mantenimiento Urgente,55.0,11000.0,85,0.3,0.664,55.25,0.9137,0.0126,11.237
54,Actuador Neumático,2022-03-14,810,3,Reemplazo,68.38,6838.1,108,4.783,3.348,58.32,0.7214,0.3951,4.983
71,Motor Paso a Paso,2016-12-19,2721,3,Reemplazo,70.06,17513.8,270,4.001,1.102,80.2,0.6854,0.4858,5.5
16,Motor Brushless DC,2023-07-15,322,2,Mantenimiento Urgente,12.12,3634.7,159,0.17,0.177,66.39,0.9335,0.0499,14.536
3,Actuador Hidráulico,2023-10-29,216,2,Mantenimiento Urgente,12.69,1903.7,38,0.307,1.1,48.37,0.9005,0.0375,7.4
52,Motor Brushless DC,2016-01-26,3049,3,Reemplazo,68.37,20510.7,436,4.025,0.556,86.33,0.7144,0.487,18.7
44,Servo Motor Industrial,2023-03-18,441,2,Mantenimiento Urgente,14.0,2799.2,94,0.269,0.713,56.32,0.929,0.0465,11.529
95,Motor Paso a Paso,2014-11-29,3472,1,Mantenimiento Programado,107.7,26925.6,502,13.56,2.445,109.11,0.4573,1.3465,9.771
100,Motor Paso a Paso,2018-04-22,2232,1,Mantenimiento Programado,104.39,26096.4,551,13.18,2.843,108.92,0.4466,1.3795,8.906
69,Motor Brushless DC,2018-08-18,2114,3,Reemplazo,60.0,18000.0,537,3.293,0.775,90.98,0.7106,0.4695,18.7
19,Motor Paso a Paso,2021-02-23,1194,2,Mantenimiento Urgente,38.22,9555.3,104,0.401,0.332,55.78,0.948,0.0288,4.746
51,Servo Motor Industrial,2017-09-07,2459,3,Reemplazo,78.23,15646.0,219,2.624,1.899,79.2,0.6881,0.3919,15.3
25,Servo Motor Industrial,2023-07-01,336,2,Mantenimiento Urgente,18.27,3654.7,53,0.329,0.707,56.46,0.9297,0.0602,11.344
43,Servo Motor Industrial,2022-11-03,576,2,Mantenimiento Urgente,32.07,6414.9,72,0.339,0.738,56.61,0.9255,0.0451,11.452
96,Motor Brushless DC,2010-10-26,4967,1,Mantenimiento Programado,103.11,30931.8,743,12.451,2.747,107.17,0.4143,1.486,23.435
